pub_uid,record_uid,reference,subset,region,commonname,family,genus,alive,dead,hooks_per_set,hooks_between_floats,bait,hook,leader,studycat,soak_max (hours),branchline length (m)
1,1.001,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,blue shark,Carcharhinidae,Prionace,1776,582,1425,6,squid,j,wire,observerEM,20,18.6
1,1.002,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,shorfin mako shark,Lamnidae,Isurus,189,241,1425,6,squid,j,wire,observerEM,20,18.6
1,1.003,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,silky shark,Carcharhinidae,Carcharhinus,8,23,1425,6,squid,j,wire,observerEM,20,18.6
1,1.004,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,smooth hammerhead shark,Sphyrnidae,Sphyrna,4,21,1425,6,squid,j,wire,observerEM,20,18.6
1,1.005,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,bigeye thresher shark,Alopiidae,Alopias,6,13,1425,6,squid,j,wire,observerEM,20,18.6
1,1.006,"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,pelagic stingray,Dasyatidae,Pteroplatytrygon,16,0,1425,6,squid,j,wire,observerEM,20,18.6
2,2.001,"Coehlo, R. 2016. Hooking Mortality of Oceanic Whitetip Sharks Caught in a Pelagic Longline Targeting Swordfish in the SW Indian Ocean: Comments on the Efficiency of No-Retention Measures. IOTC-2016-WPEB12-26. Indian Ocean Tuna Commission, Mahe, Seychelles. ",n,io,oceanic whitetip shark,Carcharhinidae,Carcharhinus,15,13,1425,6,squid,j,wire,observerEM,unk,unk
3,3.001,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,blue shark,Carcharhinidae,Prionace,485,23,unk,unk,other,j,other,observerEM,unk,unk
3,3.002,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,shorfin mako shark,Lamnidae,Isurus,26,5,unk,unk,other,j,other,observerEM,unk,unk
3,3.003,"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",n,mb,thresher shark,Alopiidae,Alopias,15,1,unk,unk,other,j,other,observerEM,unk,unk
