reference,family,genus,alive,dead,hooks_per_set,bait,hook,leader,source,sample_size,scientific_name,gear_class,estimate_type,estimate,max_size_cm,measure,median_depth,reproductive_mode,group,ac
"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles.",Carcharhinidae,Prionace,1776,582,1425,squid,j,wire,Gilman et al (2022),2358,Prionace glauca,,,,,,,,,
"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles.",Lamnidae,Isurus,189,241,1425,squid,j,wire,Gilman et al (2022),430,Isurus oxyrinchus,,,,,,,,,
"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles.",Carcharhinidae,Carcharhinus,8,23,1425,squid,j,wire,Gilman et al (2022),31,Carcharhinus falciformis,,,,,,,,,
"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles.",Sphyrnidae,Sphyrna,4,21,1425,squid,j,wire,Gilman et al (2022),25,Sphyrna zygaena,,,,,,,,,
"Coelho R, Lino P, Santos M. 2011a. At-haulback mortality of elasmobranchs caught on the Porgtuguese Longline Swordfish Fishery in the Indian Ocean. IOTC-2011-WPEB07-31. Indian Ocean Tuna Commission, Mahe, Seychelles.",Alopiidae,Alopias,6,13,1425,squid,j,wire,Gilman et al (2022),19,Alopias superciliosus,,,,,,,,,
"Coehlo, R. 2016. Hooking Mortality of Oceanic Whitetip Sharks Caught in a Pelagic Longline Targeting Swordfish in the SW Indian Ocean: Comments on the Efficiency of No-Retention Measures. IOTC-2016-WPEB12-26. Indian Ocean Tuna Commission, Mahe, Seychelles.",Carcharhinidae,Carcharhinus,15,13,1425,squid,j,wire,Gilman et al (2022),28,Carcharhinus longimanus,,,,,,,,,
"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",Carcharhinidae,Prionace,485,23,unk,other,j,other,Gilman et al (2022),508,Prionace glauca,,,,,,,,,
"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",Lamnidae,Isurus,26,5,unk,other,j,other,Gilman et al (2022),31,Isurus oxyrinchus,,,,,,,,,
"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",Alopiidae,Alopias,15,1,unk,other,j,other,Gilman et al (2022),16,Alopias vulpinus,,,,,,,,,
"Megalofonou, P., Yannopoulos, C., Damalas, D., De Metrio, G., Deflorio, M., de la Serna, J. M., Macias, D. 2005. Incidental catch and estimated discards of pelagic sharks from the swordfish and tuna fisheries in the Mediterranean Sea. Fishery Bulletin 103: 620–634.",Triakidae,Galeorhinus,5,0,unk,other,j,other,Gilman et al (2022),5,Galeorhinus galeus,,,,,,,,,
