PC1,PC2,BinomName,Order2,Order,depth_median,t_median,rmax,maxwt_all_prev,maxwt_all,log_wt,invtemp,invtemp_scaled,depth_scaled
-0.889791744,-0.051027681,Acroteriobatus_annulatus,Rhinopristiformes,rays,36.5,21.785,0.565979797,6984.015709,6984.015709,8.851379347,39.34754073,-0.332629897,-0.296547878
-1.042303562,-0.169379309,Aetobatus_flagellum,Myliobatiformes,rays,30,23.402,0.232729205,50000,50000,10.81977828,39.1329916,-0.428394586,-0.308625329
-0.335519856,0.300910771,Pteromylaeus_bovinus,Myliobatiformes,rays,75,16.501,0.903413178,116000,116000,11.66134547,40.0653439,-0.01223616,-0.225012206
2.369174282,0.052062281,Amblyraja_georgiana,Rajiformes,skates,637,3.089,0.175918412,11893.13914,11893.13914,9.38371697,42.01060287,0.856036395,0.819222804
1.005495814,0.814198748,Amblyraja_radiata,Rajiformes,skates,232.5,6.258,0.356450865,11400,11400,9.341368634,41.53412546,0.643359181,0.067633727
-1.409335456,-0.483857063,Anoxypristis_cuspidata,Rhinopristiformes,rays,20,27.55,0.555295804,707515.8811,707515.8811,13.46951536,38.59317235,-0.669344634,-0.327206024
-0.65337816,-0.200887021,Aptychotrema_rostrata,Rhinopristiformes,rays,110,21.272,0.18123601,6492.879645,6492.879645,8.778461416,39.41609977,-0.302028352,-0.159979776
3.146291443,-0.702773717,Bathyraja_parmifera,Rajiformes,skates,928.5,2.973,0.345675904,18200,18200,9.809176873,42.02825163,0.863913978,1.360850038
1.862491573,0.265371281,Rhinoraja_albomaculata,Rajiformes,skates,500,4.6255,0.265188631,4293.324949,4293.324949,8.364816758,41.77822351,0.752313128,0.564667295
2.811572662,-0.406842827,Bathyraja_aleutica,Rajiformes,skates,808.5,3.175,0.273341887,23100,23100,10.0475879,41.997528,0.850200388,1.137881708
1.306233329,0.676109199,Bathyraja_brachyurops,Rajiformes,skates,316,5.394,0.460763434,16870.33741,9691.632812,9.179018196,41.66295783,0.700863922,0.222782523
2.406092483,-0.02926633,Bathyraja_lindbergi,Rajiformes,skates,659.5,3.3205,0.217313262,4676.060025,4676.060025,8.450211159,41.97542568,0.840334945,0.861029366
2.32477111,0.028680765,Bathyraja_maculata,Rajiformes,skates,633,3.4425,0.179479612,8500,8500,9.047821442,41.95691107,0.832070891,0.811790526
2.755003292,-0.339909969,Bathyraja_minispinosa,Rajiformes,skates,785,3.121,0.184627135,4612.310517,3854.155823,8.25690728,42.00573685,0.853864433,1.094217077
2.066086882,0.258750032,Rhinoraja_taranetzi,Rajiformes,skates,540,3.592,0.404960985,2682.748951,2682.748951,7.894597276,41.93424535,0.821953972,0.638990071
4.705414776,-2.123470081,Bathyraja_trachura,Rajiformes,skates,1495.5,2.2545,0.386204421,5000,5000,8.517193191,42.13789871,0.912855302,2.414375395
-0.818924171,-0.3165066,Dasyatis_lata,Myliobatiformes,rays,100.5,22.945,0.123772597,290000,290000,12.5776362,39.19339038,-0.401435397,-0.177631436
0.529420524,1.263076309,Beringraja_binoculata,Rajiformes,skates,56.5,6.403,0.328075682,91000,91000,11.41861479,41.51258232,0.633743333,-0.25938649
