scientific_name,evol_dist,family,group
Chlamydoselachus anguineus,127.5973121,Chlamydoselachidae,Sharks
Chlamydoselachus africana,127.5973121,Chlamydoselachidae,Sharks
Notorynchus cepedianus,160.1607159,Hexanchidae,Sharks
Hexanchus nakamurai,73.61648353837501,Hexanchidae,Sharks
Hexanchus griseus,40.90247363,Hexanchidae,Sharks
Hexanchus vitulus,40.90247363,Hexanchidae,Sharks
Heptranchias perlo,103.1468442,Hexanchidae,Sharks
Heptranchias perlo,103.1468442,Lamnidae,Sharks
Pliotrema warreni,139.8561753,Pristiophoridae,Sharks
Pristiophorus japonicus,55.940763602850005,Pristiophoridae,Sharks
Pristiophorus delicatus,55.940763602850005,Pristiophoridae,Sharks
Pristiophorus nudipinnis,39.84177544,Pristiophoridae,Sharks
Pristiophorus nancyae,39.84177544,Pristiophoridae,Sharks
Pristiophorus cirratus,55.51651959,Pristiophoridae,Sharks
Echinorhinus brucus,79.78857047,Echinorhinidae,Sharks
Echinorhinus cookei,79.78857047,Echinorhinidae,Sharks
Squatina tergocellatoides,39.696442836593754,Squatinidae,Sharks
Squatina japonica,50.71408636159375,Squatinidae,Sharks
Squatina formosa,20.60013058539844,Squatinidae,Sharks
Squatina nebulosa,20.60013058539844,Squatinidae,Sharks
Squatina pseudocellata,12.962149699880861,Squatinidae,Sharks
Squatina tergocellata,12.962149699880861,Squatinidae,Sharks
Squatina albipunctata,22.192068186761716,Squatinidae,Sharks
Squatina australis,38.943088761523434,Squatinidae,Sharks
Squatina argentina,27.075466584023438,Squatinidae,Sharks
Squatina oculata,14.27464916451172,Squatinidae,Sharks
Squatina africana,14.27465016451172,Squatinidae,Sharks
Squatina squatina,50.45660028804688,Squatinidae,Sharks
Squatina aculeata,50.45660028804688,Squatinidae,Sharks
Squatina armata,52.62116173659375,Squatinidae,Sharks
Squatina californica,34.915213594796874,Squatinidae,Sharks
Squatina dumeril,24.63821913789844,Squatinidae,Sharks
Squatina occulta,15.718694243449217,Squatinidae,Sharks
Squatina guggenheim,15.718694243449217,Squatinidae,Sharks
Deania quadrispinosa,50.25262261,Centrophoridae,Sharks
Deania profundorum,50.25262261,Centrophoridae,Sharks
Deania calcea,47.075517539437506,Centrophoridae,Sharks
Centrophorus atromarginatus,32.46613500996875,Centrophoridae,Sharks
Centrophorus harrissoni,26.983192503984373,Centrophoridae,Sharks
Centrophorus isodon,26.983192503984373,Centrophoridae,Sharks
Centrophorus westraliensis,48.942622463968746,Centrophoridae,Sharks
Centrophorus tessellatus,15.390599121433594,Centrophoridae,Sharks
Centrophorus granulosus,15.390600121433593,Centrophoridae,Sharks
Centrophorus squamosus,33.17958325373438,Centrophoridae,Sharks
Centrophorus moluccensis,45.040400116468746,Centrophoridae,Sharks
Somniosus rostratus,117.96294246741252,Somniosidae,Sharks
Somniosus pacificus,18.785741120301562,Somniosidae,Sharks
Somniosus antarcticus,18.785741120301562,Somniosidae,Sharks
Somniosus microcephalus,35.64085361060312,Somniosidae,Sharks
Somniosus longus,65.64911167420625,Somniosidae,Sharks
Centroscymnus coelolepis,102.25911406870625,Somniosidae,Sharks
Scymnodon ringens,76.55515926185312,Somniosidae,Sharks
Scymnodalatias albicauda,26.18737212605332,Somniosidae,Sharks
Scymnodalatias garricki,26.18737212605332,Somniosidae,Sharks
Scymnodalatias sherwoodi,23.529437439053318,Somniosidae,Sharks
Centroscymnus owstonii,35.99549618160664,Somniosidae,Sharks
Oxynotus centrina,49.74855522571328,Oxynotidae,Sharks
Oxynotus paradoxus,25.97557258642832,Oxynotidae,Sharks
Oxynotus caribbaeus,25.97557258642832,Oxynotidae,Sharks
Oxynotus bruniensis,25.54536641642832,Oxynotidae,Sharks
Oxynotus japonicus,25.54536641642832,Oxynotidae,Sharks
Zameus squamulosus,61.53539270685313,Somniosidae,Sharks
Centroselachus crepidater,102.80228385370626,Somniosidae,Sharks
Isistius brasiliensis,57.08256555130859,Dalatiidae,Sharks
Isistius plutodus,86.47316369261719,Dalatiidae,Sharks
Dalatias licha,59.63443401205859,Dalatiidae,Sharks
Squaliolus laticaudus,117.77777880023439,Dalatiidae,Sharks
Squaliolus aliae,77.68293237011719,Dalatiidae,Sharks
Euprotomicrus bispinatus,77.68293237011719,Dalatiidae,Sharks
Cirrhigaleus asper,72.75607236023438,Squalidae,Sharks
Cirrhigaleus barbifer,40.65851961611719,Squalidae,Sharks
Cirrhigaleus australis,40.65851961611719,Squalidae,Sharks
Squalus albifrons,28.987196378183594,Squalidae,Sharks
Squalus raoulensis,28.987196378183594,Squalidae,Sharks
Squalus acanthias,22.294321543091797,Squalidae,Sharks
Squalus suckleyi,22.294321543091797,Squalidae,Sharks
Squalus altipinnis,37.499650798183595,Squalidae,Sharks
Squalus rancureli,14.45326366358545,Squalidae,Sharks
Squalus blainville,8.922869565792723,Squalidae,Sharks
Squalus grahami,8.922870565792724,Squalidae,Sharks
Squalus nasutus,12.733001444085449,Squalidae,Sharks
Squalus japonicus,7.479804164042724,Squalidae,Sharks
Squalus melanurus,7.479803164042725,Squalidae,Sharks
Squalus chloroculus,9.460579191667724,Squalidae,Sharks
Squalus mitsukurii,6.2914020013338625,Squalidae,Sharks
Squalus montalbani,6.2914020013338625,Squalidae,Sharks
Squalus cubensis,13.876920944335449,Squalidae,Sharks
Squalus edmundsi,10.717312073417723,Squalidae,Sharks
Squalus formosus,7.641105901008862,Squalidae,Sharks
Squalus hemipinnis,7.641106901008862,Squalidae,Sharks
Squalus crassispinus,16.11334199983545,Squalidae,Sharks
Squalus megalops,28.733015344341794,Squalidae,Sharks
Squalus brevirostris,14.666418896070898,Squalidae,Sharks
Squalus notocaudatus,14.666418896070898,Squalidae,Sharks
Squalus griffini,17.450177957341797,Squalidae,Sharks
Squalus bucephalus,33.7179838,Squalidae,Sharks
Aculeola nigra,100.94015475796874,Etmopteridae,Sharks
Centroscyllium nigrum,32.02945148299219,Etmopteridae,Sharks
Centroscyllium granulatum,32.02945148299219,Etmopteridae,Sharks
Centroscyllium kamoharai,11.014038700123045,Etmopteridae,Sharks
Centroscyllium ritteri,6.143931840561523,Etmopteridae,Sharks
Centroscyllium ornatum,6.143931840561523,Etmopteridae,Sharks
Centroscyllium excelsum,19.075617951246095,Etmopteridae,Sharks
Centroscyllium fabricii,33.72737555449219,Etmopteridae,Sharks
Trigonognathus kabeyai,146.74290151546876,Etmopteridae,Sharks
Etmopterus sheikoi,89.51177250136719,Etmopteridae,Sharks
Etmopterus decacuspidatus,18.25552340358545,Etmopteridae,Sharks
Etmopterus brachyurus,18.255524403585447,Etmopteridae,Sharks
Etmopterus molleri,30.306252101170898,Etmopteridae,Sharks
Etmopterus dislineatus,41.599622445341794,Etmopteridae,Sharks
Etmopterus lucifer,62.551197870683595,Etmopteridae,Sharks
Etmopterus joungi,42.97344125364795,Etmopteridae,Sharks
Etmopterus splendidus,42.053927473647946,Etmopteridae,Sharks
Etmopterus fusus,22.737188292823973,Etmopteridae,Sharks
Etmopterus perryi,22.737188292823973,Etmopteridae,Sharks
Etmopterus evansi,21.806423959847947,Etmopteridae,Sharks
Etmopterus sentosus,21.80642495984795,Etmopteridae,Sharks
Etmopterus hillianus,59.211377705295895,Etmopteridae,Sharks
Etmopterus robinsi,59.211377705295895,Etmopteridae,Sharks
Etmopterus pusillus,52.238358550795894,Etmopteridae,Sharks
Etmopterus bigelowi,52.238358550795894,Etmopteridae,Sharks
Etmopterus unicolor,36.06175247,Etmopteridae,Sharks
Etmopterus princeps,16.517383740323975,Etmopteridae,Sharks
Etmopterus spinax,16.517383740323975,Etmopteridae,Sharks
Etmopterus granulosus,24.90428531864795,Etmopteridae,Sharks
Etmopterus dianthus,56.400034776591795,Etmopteridae,Sharks
Etmopterus schultzi,64.31843869,Etmopteridae,Sharks
