family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,2358,0.24681933842239187,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,430,0.5604651162790698,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,31,0.7419354838709677,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Sphyrnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,25,0.84,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Alopiidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,19,0.6842105263157895,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Dasyatidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Batoids,16,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,28,0.4642857142857143,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,508,0.0452755905511811,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,31,0.16129032258064516,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,16,0.0625,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
