scientific_name,f,f_mort,common_name
Aculeola nigra,0.040266562,0.027427386,Hooktooth dogfish
Alopias pelagicus,0.061861063,0.042253713,Pelagic thresher
Alopias superciliosus,0.048599417,0.028444577,Bigeye thresher
Alopias vulpinus,0.061907625,0.037603819,Thresher
Apristurus albisoma,0.05447083,0.030240281,Common thresher
Apristurus ampliceps,0.05447083,0.030240281,Roughskin catshark
Apristurus aphyodes,0.02417077,0.013043196,White ghost catshark
Apristurus australis,0.02417077,0.01343752,Pinocchio catshark
Apristurus brunneus,0.030806108,0.018065754,Brown catshark
Apristurus bucephalus,0.02417077,0.013447567,Bighead catshark
Apristurus exsanguis,0.02417077,0.01343752,Flaccid catshark
Apristurus fedorovi,0.012242397,0.00680605,Fedorov's catshark
Apristurus garricki,0.02417077,0.01343752,Garrick's catshark
Apristurus gibbosus,0.05447083,0.030282564,Humpback catshark
Apristurus herklotsi,0.05447083,0.029748897,Longfin catshark
Apristurus internatus,0.05447083,0.029762366,Shortnose demon catshark
Apristurus japonicus,0.05447083,0.030282564,Japanese catshark
Apristurus laurussonii,0.05447083,0.030305205,Atlantic ghost catshark
Apristurus longicephalus,0.05447083,0.030282564,Longhead catshark
Apristurus macrorhynchus,0.05447083,0.029707565,Flathead catshark
Apristurus macrostomus,0.05447083,0.029722153,Broadmouth catshark
Apristurus manis,0.05447083,0.030240281,Ghost catshark
Apristurus melanoasper,0.040760965,0.022688226,Black roughscale catshark
Apristurus microps,0.069738538,0.037632785,Smalleye catshark
Apristurus micropterygeus,0.069738538,0.038817621,Smalldorsal cat shark
Apristurus nasutus,0.069738538,0.038034342,Largenose catshark
Apristurus pinguis,0.069738538,0.038104502,Bulldog catshark
Apristurus platyrhynchus,0.069738538,0.038770507,Spatulasnout catshark
Apristurus profundorum,0.069738538,0.037632785,Deepwater catshark
Apristurus saldanha,0.069738538,0.038034342,Saldanha catshark
Apristurus sinensis,0.067105117,0.037351815,South China catshark
Asymbolus analis,0.069738538,0.054284063,Australian spotted catshark
Asymbolus occiduus,0.081128532,0.053869851,Western spotted catshark
Asymbolus pallidus,0.081128532,0.049074359,Pale spotted catshark
Asymbolus parvus,0.081128532,0.054059236,Dwarf catshark
Asymbolus rubiginosus,0.081128532,0.05249951,Orange-spotted catshark
Asymbolus vincenti,0.118906232,0.076712537,Gulf catshark
Atelomycterus baliensis,0.100179159,0.065088456,Bali catshark
Atelomycterus erdmanni,0.104130126,0.081780833,Spotted-belly catshark
Atelomycterus fasciatus,0.104130126,0.079523781,Banded sand catshark
Atelomycterus macleayi,0.104130126,0.081780833,Australian marbled catshark
Atelomycterus marmoratus,0.100223065,0.078712339,Coral catshark
Atelomycterus marnkalha,0.006996347,0.00525568,Eastern banded catshark
Aulohalaelurus kanakorum,0.036261308,0.028478598,New Caledonia catshark
Aulohalaelurus labiosus,0.079088487,0.060826804,Australian blackspotted catshark
Brachaelurus colcloughi,0.079088487,0.06186981,Bluegrey carpetshark
Brachaelurus waddi,0.093135615,0.070146529,Blind shark
Bythaelurus canescens,0.093135615,0.051455272,Dusky catshark
Bythaelurus clevai,0.093135615,0.051659924,Broadhead catshark
Bythaelurus dawsoni,0.093135615,0.050862865,New Zealand catshark
Bythaelurus hispidus,0.093135615,0.056315495,Bristly catshark
Bythaelurus immaculatus,0.093135615,0.0517779,Spotless catshark
Bythaelurus lutarius,0.081128532,0.044327892,Mud catshark
Carcharhinus acronotus,0.149495718,0.112065452,Blacknose shark
Carcharhinus albimarginatus,0.061515845,0.037367383,Silvertip shark
Carcharhinus altimus,0.050480337,0.03580894,Bignose shark
Carcharhinus amblyrhynchoides,0.081128532,0.058811638,Graceful shark
Carcharhinus amblyrhynchos,0.055999858,0.040090736,Blacktail reef shark
Carcharhinus amboinensis,0.081128532,0.063599074,Pigeye shark
Carcharhinus borneensis,0.081128532,0.063730769,Borneo shark
Carcharhinus brachyurus,0.067151834,0.045757556,Copper shark
Carcharhinus brevipinna,0.119149949,0.112127097,Spinner shark
Carcharhinus cautus,0.125086538,0.09751996,Nervous shark
Carcharhinus cerdale,0.081128532,0.060925022,Pacific smalltail shark
Carcharhinus coatesi,0.081128532,0.064891857,Australian blackspot shark
Carcharhinus dussumieri,0.058371868,0.058371868,Whitecheek shark
Carcharhinus falciformis,0.07234762,0.043061659,Silky shark
Carcharhinus fitzroyensis,0.063510577,0.047676539,Creek whaler
Carcharhinus galapagensis,0.11689088,0.067401581,Galapagos shark
Carcharhinus hemiodon,0.063510577,0.048656251,Pondicherry shark
Carcharhinus humani,0.063510577,0.048368875,Human's whaler shark
Carcharhinus isodon,0.128574743,0.097586939,Finetooth shark
Carcharhinus leiodon,0.079088487,0.059868874,Smoothtooth blacktip shark
Carcharhinus leucas,0.101590134,0.031047054,Bull shark
Carcharhinus limbatus,0.07862153,0.070417031,Blacktip shark
Carcharhinus longimanus,0.117695736,0.050483611,Oceanic whitetip shark
Carcharhinus macloti,0.079088487,0.060944088,Hardnose shark
Carcharhinus melanopterus,0.079088487,0.063157697,Blacktip reef shark
Carcharhinus obscurus,0.053146628,0.038247664,Dusky shark
Carcharhinus plumbeus,0.079275861,0.029995162,Sandbar shark
Carcharhinus porosus,0.092628725,0.069504915,Smalltail shark
Carcharhinus sealei,0.05447083,0.043959535,Blackspot shark
Carcharhinus signatus,0.110355573,0.086818561,Night shark
Carcharhinus sorrah,0.170578879,0.155363686,Spottail shark
Carcharhinus tilstoni,0.179854705,0.131153077,Australian blacktip shark
Carcharhinus tjutjot,0.05447083,0.043967312,Indonesian whaler shark
Carcharias taurus,0.026106498,0.015683583,Sand tiger shark
Carcharodon carcharias,0.093158142,0.046221429,Great white shark
Centrophorus atromarginatus,0.053351546,0.034978536,Dwarf gulper shark
Centrophorus granulosus,0.029627918,0.013920776,Gulper shark
Centrophorus harrissoni,0.060853296,0.032794286,Dumb gulper shark
Centrophorus isodon,0.040572748,0.021690887,Blackfin gulper shark
Centrophorus moluccensis,0.053351546,0.031780721,Smallfin gulper shark
Centrophorus squamosus,0.034710101,0.011733402,Leafscale gulper shark
Centrophorus tessellatus,0.053351546,0.033468936,Mosaic gulper shark
Centrophorus uyato,0.053351546,0.028817631,Little gulper shark
Centrophorus westraliensis,0.04755386,0.028002714,Western gulper shark
Centroscyllium excelsum,0.053351546,0.031780453,Highfin dogfish
Centroscyllium fabricii,0.054271086,0.026832538,Black dogfish
Centroscyllium granulatum,0.054271086,0.033381661,Granular dogfish
Centroscyllium kamoharai,0.070625412,0.04207015,Bareskin dogfish
Centroscyllium nigrum,0.113001902,0.068176534,Combtooth dogfish
Centroscyllium ornatum,0.049930122,0.029742378,Ornate dogfish
Centroscyllium ritteri,0.080505638,0.051239868,Whitefin dogfish
Centroscymnus coelolepis,0.049755382,0.021461348,Portuguese dogfish
Centroscymnus macracanthus,0.053176061,0.024857104,Largespine velvet dogfish
Centroscymnus owstonii,0.053176061,0.024918578,Roughskin dogfish
Centroselachus crepidater,0.075546657,0.044831913,Longnose velvet dogfish
Cephaloscyllium albipinnum,0.053176061,0.030387864,Whitefin swellshark
Cephaloscyllium fasciatum,0.053176061,0.037719727,Reticulated swellshark
Cephaloscyllium hiscosellum,0.053176061,0.032708121,Australian reticulate swellshark
Cephaloscyllium isabellum,0.053176061,0.031134951,Draughtsboard shark
Cephaloscyllium laticeps,0.053176061,0.03831064,Australian swellshark
Cephaloscyllium sarawakensis,0.053176061,0.037304467,Sarawak pygmy swellshark
Cephaloscyllium signourum,0.053176061,0.031857306,Flagtail swellshark
Cephaloscyllium silasi,0.053176061,0.032777672,Indian swellshark
Cephaloscyllium speccum,0.039850088,0.026595348,Speckled swellshark
Cephaloscyllium sufflans,0.053176061,0.03508684,Balloon shark
Cephaloscyllium umbratile,0.053176061,0.035070305,Blotchy swellshark
Cephaloscyllium variegatum,0.053176061,0.032708121,Saddled swellshark
Cephaloscyllium ventriosum,0.074605688,0.050661207,Swell shark
Cephalurus cephalus,0.053176061,0.031448121,Lollipop catshark
Cetorhinus maximus,0.110171837,0.054602799,Basking shark
Chiloscyllium arabicum,0.053176061,0.040897607,Arabian carpetshark
Chiloscyllium burmensis,0.059682352,0.045901583,Burmese bamboo shark
Chiloscyllium griseum,0.053176061,0.041762963,Grey bamboo shark
Chiloscyllium indicum,0.053176061,0.040897607,Slender bamboo shark
Chiloscyllium plagiosum,0.053176061,0.041762963,Whitespotted bamboo shark
Chiloscyllium punctatum,0.044589624,0.033691098,Brownbanded bamboo shark
Chlamydoselachus africana,0.066591758,0.037691078,Southern African frilled shark
Chlamydoselachus anguineus,0.047725125,0.021232237,Frilled shark
Cirrhigaleus asper,0.035839053,0.017794004,Roughskin spurdog
Cirrhigaleus australis,0.053176061,0.029859575,Southern Mandarin dogfish
Cirrhigaleus barbifer,0.052842526,0.026488181,Mandarin dogfish
Cirrhoscyllium expolitum,0.052842526,0.035072097,Barbelthroat carpetshark
Cirrhoscyllium formosanum,0.080505638,0.053395291,Taiwan saddled carpetshark
Cirrhoscyllium japonicum,0.079088487,0.049158035,Saddle carpetshark
Dalatias licha,0.131433808,0.063097252,Kitefin shark
Deania calcea,0.057439381,0.026071278,Birdbeak dogfish
Deania profundorum,0.02532582,0.015086086,Arrowhead dogfish
Deania quadrispinosa,0.080505638,0.039977994,Longsnout dogfish
Echinorhinus brucus,0.080505638,0.037602538,Bramble shark
Echinorhinus cookei,0.034772896,0.014940633,Prickly shark
