scientific_name,redlist_category
Hexanchus griseus,NT
Lamna nasus,VU
Dactylobatus clarkii,LC
Pseudobatos percellens,EN
Carcharhinus acronotus,EN
Somniosus pacificus,NT
Myliobatis goodei,VU
Mustelus norrisi,NT
Carcharhinus isodon,NT
Carcharhinus altimus,NT
Dipturus teevani,LC
Alopias superciliosus,VU
Pteroplatytrygon violacea,LC
Pseudobatos lentiginosus,VU
Rhincodon typus,EN
Rhynchobatus palpebratus,NT
Squalus suckleyi,LC
Carcharhinus limbatus,VU
Carcharhinus obscurus,EN
Carcharhinus plumbeus,EN
Carcharias taurus,CR
Notorynchus cepedianus,VU
Centrophorus granulosus,EN
Squatina occulta,CR
Odontaspis noronhai,LC
Isurus oxyrinchus,EN
Galeorhinus galeus,CR
Mustelus canis,NT
Carcharhinus brevipinna,VU
Carcharhinus leucas,VU
Carcharhinus longimanus,CR
Galeocerdo cuvier,NT
Negaprion brevirostris,VU
Prionace glauca,NT
Sphyrna lewini,CR
Sphyrna mokarran,CR
Sphyrna zygaena,VU
Pseudobatos horkelii,CR
Carcharhinus galapagensis,LC
Carcharhinus brachyurus,VU
Echinorhinus brucus,EN
Heptranchias perlo,NT
Squalus mitsukurii,EN
Mitsukurina owstoni,LC
Mustelus fasciatus,CR
Schroederichthys saurisqualus,VU
Scyliorhinus haeckelii,DD
Rhinoptera brasiliensis,VU
Urotrygon microphthalmum,CR
Sympterygia acuta,CR
Dipturus leptocaudus,VU
Rhizoprionodon lalandii,VU
Discopyge tschudii,LC
Gymnura micrura,NT
Rhinoptera bonasus,VU
Tetronarce puelcha,CR
Dasyatis hypostigma,EN
Hypanus say,NT
Styracura schmardae,EN
Hydrolagus alberti,LC
Sphyrna media,CR
Sphyrna tudes,CR
Mustelus schmitti,CR
Mustelus higmani,EN
Cirrhigaleus asper,DD
Zameus squamulosus,LC
Carcharhinus perezi,EN
Isogomphodon oxyrhynchus,CR
Carcharhinus signatus,EN
Carcharhinus porosus,CR
Ginglymostoma cirratum,VU
Isurus paucus,EN
Rhizoprionodon porosus,VU
Zapteryx brevirostris,EN
Dalatias licha,VU
Callorhinchus callorynchus,VU
Dipturus mennii,CR
Hydrolagus matallanasi,VU
Bathytoshia centroura,VU
Gymnura altavela,EN
Raja radula,EN
Cephaloscyllium sarawakensis,CR
Trygonorrhina dumerilii,LC
Deania profundorum,NT
Raja polystigma,LC
Rhinoptera marginata,CR
Pristis pectinata,CR
Carcharhinus melanopterus,VU
Anoxypristis cuspidata,CR
Pristis zijsron,CR
Pristis pristis,CR
Alopias pelagicus,EN
Aptychotrema rostrata,LC
Aptychotrema vincentiana,LC
Asymbolus funebris,DD
Brachaelurus colcloughi,VU
Callorhinchus milii,LC
Carcharhinus amblyrhynchoides,VU
Carcharhinus cautus,LC
Carcharhinus dussumieri,EN
Carcharhinus fitzroyensis,LC
Carcharhinus sealei,VU
Carcharhinus tilstoni,LC
Centrophorus harrissoni,EN
Centrophorus squamosus,EN
Centroscymnus owstonii,VU
Centroselachus crepidater,NT
Cephaloscyllium laticeps,LC
Deania quadrispinosa,VU
Eusphyra blochii,EN
Furgaleus macki,LC
Glaucostegus typus,CR
Glyphis garricki,VU
Glyphis glyphis,VU
Hemigaleus australiensis,LC
Heterodontus portusjacksoni,LC
Heterodontus zebra,LC
Mustelus antarcticus,LC
Orectolobus floridus,LC
Orectolobus halei,LC
Orectolobus hutchinsi,LC
Orectolobus maculatus,LC
Orectolobus ornatus,LC
Orectolobus parvimaculatus,LC
Orectolobus reticulatus,DD
Orectolobus wardi,LC
Parascyllium variolatum,LC
Pristiophorus nudipinnis,LC
Pristis clavata,CR
Rhinoptera neglecta,DD
Rhizoprionodon acutus,VU
Rhizoprionodon taylori,LC
Rhynchobatus australiae,CR
Squalus megalops,LC
Squatina australis,LC
Squatina tergocellata,LC
Sutorectus tentaculatus,LC
Dipturus maugeanus,EN
Dasyatis tortonesei,DD
Carcharhinus coatesi,LC
Carcharhinus tjutjot,VU
Heterodontus francisci,DD
Cephaloscyllium ventriosum,LC
Parmaturus xaniurus,LC
Mustelus lunulatus,LC
Triakis semifasciata,LC
Zapteryx exasperata,DD
Urobatis halleri,LC
Hypanus dipterurus,VU
Myliobatis californicus,LC
Raja clavata,NT
Rhinobatos borneensis,EN
Pseudobatos productus,NT
Rhinobatos schlegelii,CR
Rhinobatos whitei,CR
Rhynchobatus immaculatus,CR
Myliobatis ridens,CR
Bathytoshia brevicaudata,LC
Glaucostegus cemiculus,CR
Bathytoshia lata,VU
Telatrygon zugei,VU
Telatrygon crozieri,EN
Hemitrygon longicauda,NT
Hemitrygon akajei,NT
Hemitrygon bennetti,VU
Hemitrygon parvonigra,DD
Hypanus americanus,NT
Hypanus guttatus,NT
Hypanus marianae,EN
Fontitrygon colarensis,CR
Fontitrygon geijskesi,CR
Fontitrygon margarita,VU
Fontitrygon ukpam,CR
Brevitrygon heterura,VU
Maculabatis macrura,EN
Urogymnus dalyensis,LC
Urogymnus polylepis,EN
Pastinachus gracilicaudus,EN
Pastinachus stellurostris,CR
Carcharhinus leiodon,EN
Torpedo adenensis,EN
Rhinobatos punctifer,NT
Halaelurus boesemani,VU
Heteronarce bentuviai,DD
Narcine oculifera,DD
Brevitrygon imbricata,VU
Maculabatis randalli,LC
Pastinachus sephen,NT
Maculabatis arabica,CR
Squatina africana,NT
Squatina legnota,CR
Carcharhinus obsoletus,CR
Squatina aculeata,CR
Squatina oculata,CR
Squatina armata,CR
Squatina argentina,CR
Himantura australis,LC
Telatrygon biasa,VU
Squatina caillieti,DD
Squatina david,NT
Rhynchobatus djiddensis,CR
Glyphis gangeticus,CR
Megachasma pelagios,LC
Lamna ditropis,LC
Haploblepharus edwardsii,EN
Poroderma africanum,LC
Leptocharias smithii,VU
Hemitriakis leucoperiptera,CR
Hypogaleus hyugaensis,DD
Mustelus asterias,NT
Mustelus mustelus,EN
Triakis acutipinna,EN
Carcharhinus borneensis,CR
Rhizoprionodon terraenovae,LC
Urogymnus asperrimus,EN
Dipturus laevis,LC
Atelomycterus marmoratus,NT
Centrophorus uyato,EN
Chiloscyllium indicum,VU
Chiloscyllium griseum,VU
Chlamydoselachus anguineus,LC
Cirrhigaleus barbifer,LC
Hemigaleus microstoma,VU
Rhina ancylostoma,CR
Rhynchobatus laevis,CR
Chiloscyllium punctatum,NT
Hemipristis elongata,EN
Odontaspis ferox,EN
Stegostoma tigrinum,EN
Apristurus fedorovi,LC
Apristurus macrorhynchus,LC
Apristurus profundorum,LC
Pliotrema warreni,LC
Oxynotus caribbaeus,LC
Mustelus dorsalis,VU
Pseudobatos planiceps,VU
Schroederichthys chilensis,LC
Sphyrna corona,CR
Sympterygia brevicaudata,NT
Halaelurus natalensis,VU
Pseudoginglymostoma brevicaudatum,CR
Sympterygia lima,LC
Urolophus aurantiacus,VU
Urobatis concentricus,LC
Urobatis maculatus,LC
Gymnura zonura,EN
Gymnura poecilura,VU
Myliobatis chilensis,VU
Myliobatis longirostris,VU
Myliobatis peruvianus,VU
Rhinoptera javanica,EN
Rhinoptera steindachneri,NT
Torpedo panthera,EN
Neoharriotta carri,NT
Neoharriotta pinnata,NT
Telatrygon acutirostra,VU
Hemitrygon izuensis,VU
Hypanus longus,VU
Taeniurops meyeni,VU
Rhinobatos hynnicephalus,EN
Pseudobatos leucorhynchus,VU
Rhinobatos nudidorsalis,DD
Zapteryx xyster,VU
Rhynchobatus luebberti,CR
Rhynchobatus springeri,CR
Centrophorus tessellatus,EN
Somniosus microcephalus,VU
Chiloscyllium plagiosum,NT
Scyliorhinus cervigoni,DD
Etmopterus perryi,LC
Mustelus palumbes,LC
Narcine brevilabiata,VU
Hydrolagus mirabilis,LC
Hydrolagus affinis,LC
Mustelus whitneyi,CR
Triakis maculata,CR
Rhinobatos rhinobatos,CR
Pseudobatos prahli,VU
Rhinobatos penggali,EN
Rhinobatos jimbaranensis,CR
Rhinobatos albomaculatus,CR
Scyliorhinus boa,LC
Raja herwigi,DD
Nasolamia velox,EN
Myliobatis tobijei,VU
Scymnodon ichiharai,VU
Hemitriakis complicofasciata,VU
Sinobatis borneensis,LC
Triakis scyllium,EN
Torpedo torpedo,VU
Scyliorhinus canicula,LC
Rhinobatos holcorhynchus,DD
Glaucostegus halavi,CR
Rhinobatos irvinei,CR
Torpedo mackayana,EN
Narcine vermiculata,LC
Dipturus bullisi,LC
Urogymnus granulatus,EN
Squalus japonicus,EN
Scyliorhinus torazame,LC
Squalus brevirostris,EN
Dasyatis pastinaca,VU
Pseudobatos glaucostigmus,VU
Rhinobatos annandalei,CR
Hongeo koreana,CR
Mustelus punctulatus,VU
Okamejei meerdervoortii,VU
Hemitriakis japanica,EN
Centroscyllium ritteri,LC
Rajella fuliginea,LC
Taeniurops grabatus,NT
Poroderma pantherinum,LC
Gymnura tentaculata,CR
Zanobatus schoenleinii,VU
Fontitrygon margaritella,NT
Centroscyllium fabricii,LC
Narcine lingula,VU
Carcharhinus albimarginatus,VU
Okamejei hollandi,VU
Maculabatis pastinacoides,EN
Paragaleus tengi,EN
Dactylobatus armatus,LC
Chiloscyllium hasselti,EN
Narcine maculata,VU
Torpedo bauchotae,EN
Orectolobus japonicus,LC
Dipturus garricki,LC
Myliobatis aquila,CR
Lamiopsis temminckii,EN
Mustelus widodoi,VU
Hemitrygon sinensis,EN
Megatrygon microps,DD
Raja straeleni,NT
Platyrhina sinensis,EN
Cirrhoscyllium japonicum,LC
Narke dipterygia,VU
Tetronarce formosa,NT
Torpedo suessii,CR
Pateobatis fai,VU
Chiloscyllium burmensis,VU
Hemitrygon laevigata,VU
Hypanus rudis,CR
Himantura undulata,EN
Rajella kukujevi,LC
Gymnura japonica,VU
Mustelus manazo,EN
Pristiophorus japonicus,LC
Okamejei acutispina,VU
Halaelurus maculosus,NT
Okamejei kenojei,VU
Haploblepharus pictus,LC
Rhizoprionodon longurio,VU
Hexatrygon bickelli,LC
Tetronarce tokionis,LC
Cirrhoscyllium formosanum,VU
Halaelurus buergeri,EN
Himantura uarnak,EN
Galeus murinus,LC
Paragaleus pectoralis,EN
Heterodontus japonicus,LC
Mustelus griseus,EN
Narcine entemedor,VU
Cephaloscyllium umbratile,NT
Okamejei schmidti,VU
Proscyllium habereri,VU
Okamejei boesemani,VU
Atelomycterus baliensis,LC
Centroscyllium excelsum,NT
Hemitrygon navarrae,VU
Pateobatis jenkinsii,EN
Temera hardwickii,VU
Dasyatis marmorata,NT
Squalus mahia,DD
Himantura leoparda,EN
Squalus margaretsmithae,LC
Gymnura marmorata,NT
Gymnura crebripunctata,NT
Pastinachus ater,VU
Squalus acanthias,VU
Raja ocellifera,EN
Squalus quasimodo,DD
Discopyge castelloi,DD
Rhynchorhina mauritaniensis,CR
Squatina guggenheim,EN
Squatina formosa,EN
Squatina nebulosa,EN
Squatina tergocellatoides,EN
Squatina japonica,CR
Mustelus mosis,NT
Maculabatis ambigua,NT
Carcharhinus humani,DD
Carcharhinus cerdale,CR
Ginglymostoma unami,EN
Styracura pacifica,VU
Rhynchobatus cooki,CR
Etmopterus lailae,DD
Scoliodon macrorhynchos,NT
Platyrhina hyugaensis,VU
Platyrhina tangi,VU
Dipturus chinensis,VU
Lamiopsis tephrodes,EN
Pliotrema kajae,DD
Sphyrna gilberti,DD
Carcharhinus amblyrhynchos,EN
Carcharhinus amboinensis,VU
Carcharhinus macloti,NT
Carcharhinus sorrah,NT
Loxodon macrorhinus,NT
Negaprion acutidens,EN
Rhizoprionodon oligolinx,NT
Triaenodon obesus,VU
Nebrius ferrugineus,VU
Chaenogaleus macrostoma,VU
Paragaleus randalli,VU
Iago omanensis,LC
Maculabatis bineeshi,CR
Maculabatis gerrardi,EN
Pateobatis bleekeri,EN
Pateobatis uarnacoides,EN
Rhinoptera jayakari,EN
Atelomycterus erdmanni,LC
Hemitriakis indroyonoi,EN
Orectolobus leptolineatus,NT
Okamejei cairae,VU
Rhinobatos ranongensis,VU
Platyrhina psomadakisi,NT
Squatina californica,NT
Narcine atzi,VU
Narcine prodorsalis,EN
Narcine timlei,VU
Squalus blainville,DD
Gymnura sereti,EN
Zanobatus maculatus,NT
Callorhinchus capensis,LC
Raja parva,NT
Pseudobatos buthi,VU
Squalus boretzi,NT
Urogymnus acanthobothrium,DD
Myliobatis freminvillei,VU
Narke japonica,VU
Mustelus mento,CR
Sphyrna tiburo,EN
Carcharhinus falciformis,VU
Schroederobatis americana,LC
Centroscymnus coelolepis,NT
Squalus clarkae,LC
Gymnura lessae,LC
Glaucostegus obtusus,CR
Glaucostegus thouin,CR
Pristiophorus cirratus,LC
Scoliodon laticaudus,NT
Squalus shiraii,VU
Etmopterus brosei,LC
Mustelus andamanensis,VU
Carcharodon carcharias,VU
Alopias vulpinus,VU
Rhynchobatus mononoke,CR
Glaucostegus younholeei,CR
Glaucostegus granulatus,CR
Carcharhinus hemiodon,CR
Hexanchus vitulus,LC
Urolophus javanicus,Extinct
Heterodontus mexicanus,LC
Rhinobatos lionotus,CR
Dipturus batis,CR
Dipturus intermedius,CR
Centrophorus atromarginatus,CR
Centrophorus moluccensis,VU
Deania calceus,NT
