scientific_name,areas,pop_growth_rate_measure,value,r_value,mean_r,reference,observations
Alopias superciliosus,,r_fin,0.077397349,0.077397349,0.064799223,,
Alopias vulpinus,,r_fin,0.047303963,0.047303963,0.0825435,,
Amblyraja radiata,,r_fin,0.107515916,0.107515916,0.1935608972857143,,
Bathyraja eatonii,,r_fin,0.116187742,0.116187742,0.116187742,,
Carcharhinus brachyurus,,r_fin,0.068947601,0.068947601,0.089535779,,
Carcharhinus falciformis,,r_fin,0.06680203,0.06680203,0.096463493,,
Carcharhinus limbatus,,r_fin,0.09856931,0.09856931,0.10482870632129976,,
Carcharhinus longimanus,,r_fin,0.092668397,0.092668397,0.15692764769676593,,
Carcharhinus sorrah,,r_fin,0.181139577,0.181139577,0.22743850569860036,,
Centrophorus granulosus,,r_fin,0.044154607,0.044154607,0.03950389,,
Centrophorus squamosus,,r_fin,0.030579908,0.030579908,0.046280134,,
Dalatias licha,,r_fin,0.129505952,0.129505952,0.175245077,,
Dasyatis pastinaca,,r_fin,0.526833271,0.526833271,0.389275003,,
Dipturus batis,,r_fin,0.066409282,0.066409282,0.205738734,,
Dipturus innominatus,,r_fin,0.077021002,0.077021002,0.077021002,,
Dipturus oxyrinchus,,r_fin,0.162442229,0.162442229,0.162442229,,
Etmopterus spinax,,r_fin,0.042138731,0.042138731,0.13630021406333334,,
Galeocerdo cuvier,,r_fin,0.076209514,0.076209514,0.20957591426381533,,
Galeorhinus galeus,,r_fin,0.04309589,0.04309589,0.12710573417106286,,
Galeus melastomus,,r_fin,0.188359255,0.188359255,0.188359255,,
Ginglymostoma cirratum,,r_fin,0.072183417,0.072183417,0.072183417,,
Gymnura altavela,,r_fin,0.329012817,0.329012817,0.329012817,,
Hexanchus griseus,,r_fin,0.164192051,0.164192051,0.164192051,,
Isurus oxyrinchus,,r_fin,0.089718159,0.089718159,0.10882630481598772,,
Lamna nasus,,r_fin,0.04407999,0.04407999,0.076963019,,
Leucoraja circularis,,r_fin,0.108265278,0.108265278,0.108265278,,
Leucoraja fullonica,,r_fin,0.108265278,0.108265278,0.108265278,,
Leucoraja naevus,,r_fin,0.067479913,0.067479913,0.409007108,,
Mustelus antarcticus,,r_fin,0.090020156,0.090020156,0.23581092803607245,,
Mustelus asterias,,r_fin,0.132933458,0.132933458,0.132933458,,
Mustelus lenticulatus,,r_fin,0.100742592,0.100742592,0.202231508,,
Mustelus mustelus,,r_fin,0.13188713,0.13188713,0.160847941,,
Mustelus schmitti,,r_fin,0.147496541,0.147496541,0.147496541,,
Myliobatis aquila,,r_fin,0.237547455,0.237547455,0.237547455,,
Oxynotus centrina,,r_fin,0.129505952,0.129505952,0.129505952,,
Raja clavata,,r_fin,0.065701067,0.065701067,0.437661319,,
Rhynchobatus australiae,,r_fin,0.204810937,0.204810937,0.363581139,,
Rhynchobatus djiddensis,,r_fin,0.204810937,0.204810937,0.204810937,,
Scyliorhinus stellaris,,r_fin,0.165279858,0.165279858,0.165279858,,
Sphyrna lewini,,r_fin,0.060196242,0.060196242,0.29109721594624655,,
Sphyrna zygaena,,r_fin,0.114537904,0.114537904,0.114537904,,
Squalus acanthias,,r_fin,0.044399483,0.044399483,0.036838948124806196,,
Squalus suckleyi,,r_fin,0.023825906,0.023825906,0.023825906,,
Squatina argentina,,r_fin,0.100586599,0.100586599,0.100586599,,
Squatina californica,,r_fin,0.075553373,0.075553373,0.10263450517686257,,
Scyliorhinus canicula,Northeast Atlantic ocean,lambda,1.659,0.5062150112083075,0.4529202997361025,Cortes (2002),
Sphyrna lewini,West Pacific,lambda,1.6,0.47000362924573563,0.29109721594624655,Cortes (2002),
Prionace glauca,Northwest Atlantic ocean,lambda,1.401,0.33718626735486995,0.4971600974516233,Cortes (2002),
Sphyrna tiburo,Eastern Gulf of Mexico,lambda,1.304,0.26543646350446126,0.4602395703761153,Cortes (2002),
Galeocerdo cuvier,Gulf of Mexico,lambda,1.246,0.2199384203652614,0.20957591426381533,Cortes (2002),
Mustelus henlei,Northeastern Pacific Ocean,lambda,1.163,0.15100287353652742,0.3255022232682637,Cortes (2002),
Carcharhinus tilstoni,Eastern Indian Ocean,lambda,1.145,0.13540463700620298,0.23980627366873433,Cortes (2002),
Isurus oxyrinchus,Northwest Atlantic ocean,lambda,1.141,0.1319050708799386,0.10882630481598772,Cortes (2002),
Mustelus californicus,Northeastern Pacific Ocean,lambda,1.132,0.1239859797809911,0.39861090139049554,Cortes (2002),
Alopias vulpinus,Northeastern Pacific Ocean,lambda,1.125,0.11778303565638346,0.0825435,Cortes (2002),
Carcharhinus longimanus,Pacific Ocean,lambda,1.117,0.11064652008706365,0.15692764769676593,Cortes (2002),
Carcharhinus falciformis,Gulf of Mexico,lambda,1.108,0.10255658832509215,0.096463493,Cortes (2002),
Carcharodon carcharias,Northeastern Pacific Ocean,lambda,1.098,0.093490343,0.12421085536244632,Cortes (2002),
Mustelus manazo,Northwestern Pacific Ocean,lambda,1.096,0.091667189,0.299751792,Cortes (2002),
Carcharhinus sorrah,Eastern Indian Ocean,lambda,1.093,0.088926209,0.22743850569860036,Cortes (2002),
Carcharhinus porosus,Southwestern Atlantic Ocean,lambda,1.086,0.082501222,0.12350496625943001,Cortes (2002),
Carcharhinus porosus,Southwestern Atlantic Ocean,lambda,1.013,0.012916225,0.12350496625943001,Cortes (2002),
Carcharhinus galapagensis,Central Pacific Ocean,lambda,1.086,0.082501222,0.15585450717058125,Cortes (2002),
Sphyrna lewini,Gulf of Mexico,lambda,1.086,0.082501222,0.29109721594624655,Cortes (2002),
Mustelus antarcticus,Southwestern Pacific Ocean,lambda,1.082,0.07881118,0.23581092803607245,Cortes (2002),
Galeorhinus galeus,Southwestern Pacific Ocean,lambda,1.077,0.074179398,0.12710573417106286,Cortes (2002),
Rhizoprionodon taylori,Southwestern Pacific Ocean,lambda,1.073,0.070458464,0.4995567298242807,Cortes (2002),
Negaprion brevirostris,Gulf of Mexico,lambda,1.064,0.062035391,0.10491119163981756,Cortes (2002),
Carcharhinus falciformis,Gulf of Mexico,lambda,1.057,0.055434706888100524,0.096463493,Cortes (2002),
Rhizoprionodon terraenovae,Gulf of Mexico,lambda,1.056,0.054488185284069776,0.3095586583210174,Cortes (2002),
Carcharhinus brachyurus,Southwestern Indian Ocean,lambda,1.043,0.042101176018635326,0.089535779,Cortes (2002),
Carcharhinus brevipinna,Gulf of Mexico,lambda,1.037,0.036331929247390204,0.15886659931184755,Cortes (2002),
Carcharhinus obscurus,Northwestern Atlantic Ocean,lambda,1.03,0.029558802,0.07086217,Cortes (2002),
Carcharhinus plumbeus,Northwestern Atlantic Ocean,lambda,1.022,0.021761492,0.10570114759383757,Cortes (2002),
Lamna nasus,Northwestern Atlantic Ocean,lambda,1.022,0.021761492,0.076963019,Cortes (2002),
Alopias pelagicus,Northwestern Pacific Ocean,lambda,1.02,0.019802627,0.082481417,Cortes (2002),
Squatina californica,Northeastern Pacific Ocean,lambda,1.019,0.018821754240587667,0.10263450517686257,Cortes (2002),
Triakis semifasciata,Northeastern Pacific Ocean,lambda,1.016,0.015873349156290163,0.15651138353907254,Cortes (2002),
Carcharhinus leucas,Gulf of Mexico,lambda,0.998,-0.002002003,0.13545351158233174,Cortes (2002),
Alopias superciliosus,Northwestern Pacific Ocean,lambda,0.996,-0.004008021,0.064799223,Cortes (2002),
