scientific_name,threats,systems,redlist_category,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes,demers_pelag,length,l_type_max_m,median_depth_2,measure_fb
Hexanchus griseus,"<p>The Bluntnose Sixgill Shark&#160;is infrequently reported as targeted and incidental catch from industrial and artisanal demersal trawl, longline, handline, traps, and gillnet fisheries across its range (e.g. Celona <em>et al</em>. 2005, White and Dharmadi 2010, Fisheries and Oceans Canada 2012, Akhilesh and Ganga 2013, da Silva <em>et al</em>. 2015, S. Tanaka unpubl. data 2019). The species is also targeted by recreational fishers (Fisheries and Oceans Canada 2012, da Silva<em> et al.</em> 2015). <br/><br/>In the Northeast Atlantic, despite a number of management measures to reduce deep-water shark fishing mortality, the species is still captured in considerable quantities in demersal fisheries (e.g. Fauconnet&#160;<em>et al.</em>&#160;2019). Post-release mortality for the species is likely to be low (Ellis <em>et al</em>. 2017), and the species is mostly discarded (Silva and Ellis 2019). <br/><br/>Off southeast Australia, the species has been regularly reported from demersal trawl and longline fisheries at depths of 200–600 m (Walker and Gason 2007). In the Australian Southern and Eastern Scalefish and Shark Fishery (SESSF), total shark catches from the eastern and western deep-water shark fisheries peaked in 1998 at 330 t and 400 t, respectively, before declining to &lt;25 t in each zone by 2007 (Patterson <em>et al.</em> 2018).&#160;A semi-quantitative risk assessment for chondrichthyan bycatch species taken in the SESSF ranked this species with medium risk from current commercial&#160;fishing as fishing effort has been reduced and the species likely has some refuge at depth&#160;(T. Walker unpubl. data 2019).&#160;</p><p><br/></p>",Marine,Near Threatened,Bluntnose sixgill shark,Hexanchidae,Hexanchiformes,ram,550,total_length,1245,yolk-sac viviparity,bathydemersal,,bathydemersal,482,TL,1250.5,total_length
Lamna nasus,"<p>The Porbeagle is caught globally as target and bycatch in commercial and small-scale pelagic longline, purse seine, and gillnet fisheries. Most of the catch is taken as bycatch of large-scale pelagic fleets in offshore and high-seas waters. It may also be captured in coastal longlines, gillnets, trammel nets and sometimes trawls, as well as on rod on reel, particularly in areas with narrow continental shelves (Camhi <em>et al.</em> 2008). The Northeast Atlantic stock has the longest history of commercial exploitation with the highest catches during the 1930s and 1950s (ICCAT 2010).<br/></p>  <p>Porbeagles are often retained for their meat and fins (Clarke <em>et al.</em> 2006a<em>, </em>Clarke<em> et al. </em>2006b, Dent and Clarke 2015<em>,</em> Fields <em>et al.</em> 2018), although fishing and/or retention is prohibited in some areas<em>. </em>Under-reporting of catches in the pelagic and domestic fisheries is likely (Dent and Clarke 2015).<em> </em>The species is highly valued by recreational fishers, and although many practice catch and release, recreational fishing could be a threat due to post-release mortality (Camhi <em>et al.</em> 2008). The post-release mortality on commercial longlines has been reported as 10–75%&#160;(Campana <em>et al. </em>2016).&#160;</p>",Marine,Vulnerable,Porbeagle,Lamnidae,Lamniformes,ram,365,total_length,904.5,oophagy,pelagic,,pelagic-oceanic,350,TL,680,total_length
Leucoraja lentiginosa,"<p>There is no specific information available on bycatch of this species. However, it is likely to be caught in the shallower part of its depth range on the outer continental shelf. For example, small skates are commonly caught incidentally and discarded in the industrial shrimp trawl fishery off southeast Mexico which operates to ~100 m (Wakida-Kusunoki&#160;<em>et al.</em>&#160;2019), and probably includes this species. It is a possible bycatch of the&#160; Royal Red Shrimp (<em>Pleoticus robustus</em>) trawl fishery that operates at depths of 250­–550 m in the US Gulf of Mexico and off the Atlantic coast to North Carolina&#160;(Stiles<em> et al. </em>2007, Driggers <em>et al.</em> 2015). Trawling occurs on relatively restricted fishing grounds with only a small number of vessels operating in the fishery (Stiles <em>et al. </em>2007).&#160;Observer coverage has also been low and so little information is available on bycatch (Scott-Denton&#160;<em>et al.</em>&#160;2012).</p><p>Commercial shark and reef fish benthic longline fisheries operate in the US Gulf of Mexico and Atlantic coast&#160;from Texas to North Carolina at depths of 3–355 m (Gulak&#160;<em>et al.</em>&#160;2013).&#160;In the Gulf of Mexico, skates were reported in the shark target fishery (2–227 m) between Louisiana and Florida, and the reef fish fishery (29–355 m) between Texas and Florida (Gulak and Carlson 2013). In the southeast US, skates were only reported as bycatch in the large coastal shark target fishery at depths of 3–30 m (Gulak&#160;<em>et al.</em>&#160;2013). In all cases, they&#160;made up less than 2% of catch, and the majority were discarded alive (Gulak&#160;<em>et al.</em>&#160;2013, Gulak and Carlson 2013). Overall, the bulk of the species’ range is suspected to be&#160;unfished, and it has refuge at depth.</p>Based on this species' distribution, it is considered to have a high level of potential exposure to the 2010 Deepwater Horizon oil spill, with 53% of historical collection records known to be in the region of the oil spill (Chakrabarty <em>et al.</em> 2012).",Marine,Least Concern,,Rajidae,Rajiformes,,,,,,,,demersal,44,TL,320.5,total_length
Dactylobatus clarkii,"<p>Overall, the bulk of the species’ range is suspected to be&#160;unfished. There is no specific information available on bycatch of this species. However, it&#160;is a possible bycatch of the&#160;royal red shrimp trawl fishery that operates at depths of 250­–550 m in the US Gulf of Mexico and off the Atlantic coast to North Carolina&#160;(Stiles <em>et al.</em> 2007, Driggers <em>et al. </em>2015). Trawling occurs on relatively restricted fishing grounds with only a small number of vessels operating in the fishery (Stiles<em> et al. </em>2007). Observer coverage has also been low and little information is available on bycatch (Scott-Denton <em>et al.</em> 2012). Commercial shark and reef fish benthic longline fisheries operate in the US Gulf of Mexico and Atlantic coast&#160;from Texas to North Carolina at depths of 3–355 m (Gulak&#160;<em>et al.</em>&#160;2013).&#160;In the Gulf of Mexico, skates were reported in the shark target fishery (2–227 m) between Louisiana and Florida, and the reef fish fishery (29–355 m) between Texas and Florida (Gulak and Carlson 2013). In the southeast US, skates were only reported as bycatch in the large coastal shark target fishery at depths of 3–30 m (Gulak&#160;<em>et al.</em>&#160;2013). In all cases, they&#160;made up less than 2% of catch, and the majority were discarded alive (Gulak&#160;<em>et al.</em>&#160;2013, Gulak and Carlson 2013).</p>                    <p>Deepsea fishing has not yet developed in the Colombian Caribbean, however there is increasing interest in developing a fishery at depths of 200—550 m for deepwater cardinalfish (<em>Epigonus</em> spp.) which are targeted by trawl and longline in other ocean regions (e.g. Australasia and the Northeast Atlantic) (Paramo 2011, Paramo <em>et al.</em> 2017). The development of any fishery should be monitored as this species may be susceptible to being caught as bycatch in such a fishery.</p>                    <p><a name=""_Hlk17411565"">Fisheries surrounding the Caribbean Islands generally do not extend to the depth range of this species, and there is a lack of deepwater fisheries in the region (Brooks<em>&#160;et al.</em>&#160;2015). Off Barbados, pot and line fisheries for crab and snapper will set as deep as ~275 m (N. Simpson pers. obs. 2019) and in the Dutch Caribbean to depths of &gt;300 m for deepsea snapper (T. Bervoets pers. comm. 24/6/2019). Similar depths are likely fished elsewhere in the Caribbean for deepsea snapper.&#160;</a>Specialized deepsea shark fishing has developed locally in some areas, for example in Martinique, which shows the potential for expansion of deepsea shark fishing. In the case of Martinique, several deepsea species were protected by government decree after the development of the fishery, effectively ending the targeting of deepsea sharks (Prefecture de la Martinique Arrete No. R02-2019-04-25-003).</p><p>This species is taken as by catch in Venezuela and there is potential for it to be taken as bycatch in Trinidad and Tobago, Suriname, and French Guiana where there are deepwater bottom longline snapper and grouper fisheries operating on the outer continental shelf and upper slope (Mendoza<em> et al. </em>2003).&#160;In Venezuela there are three deepsea fisheries in operation. The first deepsea fishery is on the central coast which has a very narrow continental shelf, and where for the last 20 years there have been at least two main deepsea fishery landing sites with varying number of boats operating longline, seines, and traps at depths of 200–800 m, 4–6 days a week. These fisheries target demersal and pelagic bony fishes.&#160;The second deepsea fishery has been operating off northeast Venezuela on the continental slope of Margarita and La Blanquilla Islands at depths ranging from 200–600 m for the past 12–15 years, 5 days a week. Demersal shark and ray species are not targeted but are encountered as bycatch.&#160;Finally, the third deepsea fishery operates on a smaller scale with gillnets and longlines in eastern Venezuela on the Paria Peninsula shelf near Trinidad and Tobago with fewer than 30 boats which are used for a variety of activities including fishing. This is the most recent deepsea fishery to develop and has only been operational for the past 5 years. Demersal fish and chondrichthyans are caught, most predominantly <em>Mustelus</em> and <em>Squatina</em> spp. (O. Lasso-Alcalá unpubl. data 2019).</p><p>Deepwater fishing off the Atlantic coast of Brazil was initiated in 1973 as a handline fishery for Atlantic Wreckfish (<em>Polyprion americanus</em>) on the upper slope (Perez <em>et al.</em> 2003). However, industrial deepwater fisheries did not emerge until the early 2000s at which point unprecedented commercial exploration began on fishing grounds 200–1,000 m deep (Perez <em>et al.</em> 2009, Pio <em>et al. </em>2016). Development of four main fisheries (hook and line, benthic gillnet, pot, and benthic trawl) was intense; the entire area fished for deepwater shrimp species was estimated to be swept nearly twice over a three year period (2003–2006) (Dallagnolo<em> et al.</em> 2009).&#160;For the most part, deepwater fishing is concentrated in the southeast and southern parts of Brazil, with only 4.1% of deepwater hauls occurring in the northern and northeast areas, predominantly by trawl (Perez <em>et al</em>. 2009, Port <em>et al. </em>2016). Deepwater trawl fishing in the northern and northeast parts of the country were abandoned shortly after the first attempts in 2002 and there are currently limited deepwater fisheries in these regions.</p>  <p>Overall, the bulk of the species’ range is suspected to be&#160;unfished.</p>",Marine,Least Concern,,Rajidae,Rajiformes,,,,,,,,,,,,
Carcharhinus acronotus,"Blacknose Shark is captured as a retained bycatch in longlines, gillnets, trawls, and recreationally on hook and line. In the United States in 2009, estimated commercial landings were 29,230 individuals while recreational catches were 1,070 individuals (SEDAR 2011a,b). The numbers caught as bycatch in commercial shrimp trawl were estimated at 1,025 individuals. In the state of Campeche, Mexico, Blacknose Shark is targeted in gillnet and longline fisheries.&#160;<br/><br/>Artisanal fisheries are intense across much of Southwest Atlantic, and there are largely unmanaged commercial trawl and longline fisheries in many areas. In Caribbean Colombia, artisanal fisheries are widespread and lack management, and there is also a shallow-water shrimp trawl fishery for which stocks have collapsed (P. Mejía-Falla and A. Navia pers. comm. 28/07/2018), but at the present time it is unclear how much, if any, fishing effort is still occurring in this fishery.&#160;In Venezuela, commercial and artisanal fisheries are intense, they lack management, and have exhibited peaks in catches followed by declines, indicative of sequential overfishing (Mendoza 2015).&#160;Groundfish fisheries on the Brazil-Guianas shelf were already fully over-exploited by 2000; these fisheries are multi-gear, multi-species, and multinational, with vessels crossing national maritime borders (Booth<em> et al.&#160;</em>2001). Despite some areal closures and the implementation of a total allowable catch of target species, there is now a diminished effort and number of vessels in operation there (Diop <em>et al.</em> 2015).&#160;In northwestern Brazil, artisanal fisheries pressure is high and 44% of target stocks were likely to be overfished by the end of the 2000s (Vasconcellos <em>et al.</em> 2011). The combination of intense and unmanaged artisanal and commercial fishing in that area has led to the disappearance of several elasmobranch species in the region, including Largetooth Sawfish (<em>Pristis pristis</em>) and Daggernose Shark (<em>Isogomphodon oxyrhynchus</em>) (Lessa <em>et al. </em>2016, Reis-Filho<em> et al.</em> 2016).&#160;In northeastern and eastern Brazil, artisanal fisheries are intense, gillnetting is the predominant artisanal gear, fishers there report that stocks are overexploited, and other sharks have been depleted (Guebert-Bartholo <em>et al.</em> 2011, Reis-Filho <em>et al.</em> 2016). In southern Brazil, the trawl fishery began in the 1960s and entered a period of rapid expansion in the 1990s and 2000s, resulting in over 650 vessels fishing at depths of 20 to 1000 m (Port <em>et al.</em> 2016). Artisanal fisheries there are also intense, and 58% of stocks targeted by artisanal fishers are overexploited, half of those having collapsed (Vasconcellos <em>et al.</em> 2011).",Marine,Endangered,,Carcharhinidae,Carcharhiniformes,,,,,,,,reef-associated,200,TL,36.5,total_length
Somniosus pacificus,"The Pacific Sleeper Shark is caught as bycatch in industrial fisheries with multiple fishing gears including demersal and pelagic trawl and longline and is usually discarded. Post-release mortality is unknown but has been conservatively estimated as 100% (Tribuzio <em>et al</em>. 2020a). It is captured in recreational fisheries in the Southeast and Southcentral Alaska, however the catch is uncommon and rarely retained (Tribuzio <em>et al</em>. 2020a).<br/><br/>In Taiwan, shark fishing has a long history with sharks historically targeted by trawl and longline fisheries from the late 1920s when 6,000 t was landed annually (Chen et al. 1997). Most fisheries subsequently moved to taking shark as bycatch, except for some vessels that continued to target shark in the east and northeast of Taiwan up until at least the late 1990s; the gears included demersal longlines set at depths of 80–200 m, mid-water longline, and large-mesh drift nets (till 1992 when they were prohibited in Taiwan) (Chen <em>et al</em>. 1997).<br/><br/>In Japan, prior to World War I, fisheries from the early 1800s targeted mainly Pacific Salmon (<em>Oncorhynchus </em>spp.) and in the Bering Sea, they mainly operated in the waters above the continental shelf and slope of the Bering Sea (Hayashi 1991). Fisheries developed rapidly in Japan during the 1950s–1980s, however they began to decline in the 1980s–1990s with a reduction in fish prices and the establishment of the Japan 200 nautical mile Exclusive Economic Zone (EEZ) (Swartz and Ishimura 2014, White Paper 2015). Deep-water trawl fisheries across Japan mostly operate at 200–800 m but in some parts of northern Japan, they operate to 1,500 m. Deep-water longline fisheries mostly operate at depths of 400–800 m (A. Yamaguchi unpubl. data 2019).<br/><br/>Russian survey catch data from 1980 to 2014 indicated this species was caught in the Bering Sea, Sea of Okhotsk, and in the Pacific Ocean with demersal and mid-water trawls with catches ranging from 1 to 67 individuals per trawl and a total of 798 individuals captured over the 35 years (I. Volvenko unpubl data 2019). In Russia, prior to World War I, fisheries mostly operated in inland waters. During the 1930s, fisheries gradually shifted to coastal waters and expanded to marine waters and foreign fleets during the late 1940s to early 1950s with fishing in the Sea of Japan, Sea of Okhotsk, and western Bering Sea and further in the 1960s to the eastern Bering Sea, Aleutian Islands, and Gulf of Alaska targeting herring and bottom fish with large, factory stern trawlers (Pruter 1976).<br/><br/>In the Northeast Pacific, from 1860 to 1920, fisheries mostly targeted Salmon (<em>Oncorhynchus </em>spp.) with pelagic fisheries increasing in effort between World War I and II and sharks (Squaliformes) a minor component of the catch (Diemling <em>et al</em>. 1994). In the Bering Sea and Aleutian Islands (BSAI), Pacific Sleeper Shark are now captured mainly in the Pacific Cod (<em>Gadus macrocephalus</em>) longline and the Walleye Pollock (<em>Gadus chalcogrammus</em>) trawl fisheries (Tribuzio <em>et al</em>. 2020b). In the Gulf of Alaska, the species is mainly captured in the flatfish fisheries and Pacific Halibut (<em>Hippoglossus stenolepis</em>) longline fisheries (Tribuzio <em>et al</em>. 2020a).<br/><br/>The species may be caught as bycatch on the Emperor Seamounts. The fisheries have operated since 1967 and fished heavily during the 1960s to 1980s mostly at depths of 300–600 m (Baco <em>et al</em>. 2019). The fisheries currently operate mostly in the Southern Emperor seamounts at depths of 300–500 m. However, some Japanese gillnets may operate at 300–1,300 m and an exploratory South Korea longliner operated at depths of 250–1,050 m in the mid-2000s (CHM 2016, Shotton 2016, NPFC 2020). The demersal trawl fisheries mainly target North Pacific Armourhead (<em>Pentaceros wheeleri</em>) that do not occur below depths of 800 m and Splendid Alfosino (<em>Beryx splendens</em>) that occurs at depths of 25–1,300 m (Froese and Pauly 2019, NPFC 2020).<span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span class=""aCOpRe""><span><span><span><span><span><span><span><span><br/></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span>",Marine,Near Threatened,,Somniosidae,Squaliformes,,,,,,,,benthopelagic,440,TL,1102.5,total_length
Myliobatis goodei,"The Southern Eagle Ray is captured using artisanal longlines, gillnets, beach seines, and industrial shrimp trawls (Velasco <em>et al. </em>2011, Tagliafico <em>et al. </em>2016). There are no known threats in the Northwest and Western Central Atlantic but in the Southwest Atlantic artisanal fisheries are intense. Further, there are largely unmanaged commercial trawl and longline fisheries in many areas. In Venezuela, commercial and artisanal fisheries are intense, they lack management, and have exhibited peaks in catches followed by declines, indicative of sequential overfishing (Mendoza 2015). Groundfish fisheries on the Brazil-Guianas shelf were already fully over-exploited by 2000; these fisheries are multi-gear, multi-species, and multinational, with vessels crossing national maritime borders (Booth <em>et al. </em>2001). Despite some areal closures and the implementation of a total allowable catch of target species, there is now a diminished effort and number of vessels in operation (Diop <em>et al. </em>2015). In northern Brazil, artisanal fisheries pressure is high and 44% of target stocks were likely to be overfished by the end of the 2000s (Vasconcellos <em>et al.</em> 2011). The combination of intense and unmanaged artisanal and commercial fishing in that area has led to the disappearance of several elasmobranch species in the region, including Largetooth Sawfish (<em>Pristis pristis</em>), Smalltooth Sawfish (<em>Pristis pectinata</em>), Daggernose Shark (<em>Isogomphodon oxyrhynchus</em>), and Smalltail Shark (<em>Carcharhinus porosus</em>) (Charvet and Faria 2014, Lessa&#160;<em>et al.&#160;</em>2016, Reis-Filho&#160;<em>et al.&#160;</em>2016, Santana&#160;<em>et al.&#160;</em>2020).&#160;In northeastern and eastern Brazil, artisanal fisheries are intense, gillnetting is the predominant artisanal gear, fishers there report that stocks are overexploited, and other sharks have been depleted (Guebert-Bartholo<em>&#160;et al.</em>&#160;2011, Reis-Filho&#160;<em>et al.</em>&#160;2016). In southern Brazil, the trawl fishery began in the 1960s and entered a period of rapid expansion in the 1990s and 2000s, resulting in over 650 vessels fishing at depths of 20–1,000 m (Port&#160;<em>et al.&#160;</em>2016). Artisanal fisheries are also intense, and 58% of stocks targeted by artisanal fishers are overexploited, half of those being collapsed (Vasconcellos&#160;<em>et al.&#160;</em>2011).&#160;This species is caught in gillnets and less frequently in trawls (P. Charvet unpubl. data 2019). In Uruguay, the industrial trawl fleet was developed in the late 1970s, and many stocks were overexploited by the 1990s (Defeo<em> et al. </em>2011). In Argentina, trawl fisheries started to expand in the 1950s and increased rapidly in the mid-1980s (Watson <em>et al. </em>2006). Gillnets are prevalent and target elasmobranchs (Chiaramonte 1998, Tamini <em>et al. </em>2006, Colautti <em>et al. </em>2010), and this is one of the most valued species in Buenos Aires Province (J-M. Cuevas unpubl. data 2018). This inshore eagle ray is exposed to intense and often unmanaged fishing pressure throughout the Atlantic South American portion of its range, and it has no refuge at depth.",Marine,Vulnerable,,Myliobatidae,Myliobatiformes,,,,,,,,benthopelagic,125,TL,65.5,total_length
Etmopterus pusillus,"The Smooth Lanternshark is occasionally taken as bycatch in demersal and midwater trawl, demersal longline, and trammel net fisheries across much of its range. Its peak abundance occurs ~400 m depth (Moura <em>et al.</em> 2018), well within the depth range of deep-water fishing activities (Victorero <em>et al.</em> 2018).&#160;When reported, the Smooth Lanternshark is generally reported in small quantities (e.g. Akhilesh <em>et al.</em> 2011, Francis 2015, da Silva <em>et al. </em>2015, Pajuelo <em>et al.</em> 2016, Frietas <em>et al. </em>2018, Facounnet <em>et al</em>. 2019). In the Northeast Atlantic, Norway reported the largest catches of lanternsharks (<em>Etmopterus&#160;</em>spp.), reaching 129 t in 2017; most of the catch is discarded (ICES-WGEF&#160;2018). Post-release mortality is unknown.",Marine,Least Concern,Smooth lanternshark,Etmopteridae,Squaliformes,stationary,50.2,total_length,560,yolk-sac viviparity,demersal,,bathydemersal,50,TL,560,total_length
Dipturus oregoni,"<p>There is no specific information available on bycatch of this species. However, it is a possible bycatch of the Royal Red Shrimp (<em>Pleoticus robustus</em>) trawl fishery that operates at depths of 250–550 m in the US Gulf of Mexico and off the Atlantic coast to North Carolina&#160;(Stiles <em>et al.</em> 2007, Driggers <em>et al. </em>2015). Trawling occurs on relatively restricted fishing grounds with only a small number of vessels operating in the fishery (Stiles <em>et al.</em> 2007).&#160;Observer coverage has also been low&#160;and so little information is available on bycatch (Scott-Denton<em>&#160;et al.</em>&#160;2012)&#160;.</p>                    <p>Commercial shark and reef fish benthic longline fisheries operate in the US Gulf of Mexico and Atlantic coast&#160;from Texas to North Carolina at depths of 3–355 m (Gulak&#160;<em>et al.</em>&#160;2013).&#160;In the Gulf of Mexico, skates were reported in the shark target fishery (2–227 m) between Louisiana and Florida, and the reef fish fishery (29–355 m) between Texas and Florida (Gulak and Carlson 2013). In the southeast US, skates were only reported as bycatch in the large coastal shark target fishery at depths of 3–30 m (Gulak&#160;<em>et al.</em>&#160;2013). In all cases, they&#160;made up less than 2% of catch, and the majority were discarded alive (Gulak&#160;<em>et al.</em>&#160;2013, Gulak and Carlson 2013). These catches are outside the depth range of the Hooktail Skate. Overall, the bulk of the species’ range is suspected to be&#160;unfished, and it has refuge at depth.</p><p>Based on this species' distribution, it is considered to have a high level of potential exposure to the 2010 Deepwater Horizon oil spill, as 80% of historical collection records are known to be in the region of the oil spill (Chakrabarty <em>et al.</em> 2012).</p>",Marine,Least Concern,,Rajidae,Rajiformes,,,,,,,,bathydemersal,144,TL,777.5,total_length
Etmopterus lucifer,"<p>The Blackbelly Lanternshark is taken incidentally in midwater and benthic trawl and longline (Oh <em>et al.&#160;</em>2005, Francis 2015). It is considered to have low catchability due to its small size and may be able to escape trawl nets, thus suffering relatively low fishing mortality (Dunn <em>et al.</em> 2013). In the Northwest Pacific, the Blackbelly Lanternshark was the most frequently recorded species on benthic longline at depths between 300-550 m (Oh&#160;<em>et al.</em>&#160;2005). In a qualitative risk assessment for New Zealand's chondrichthyans, this species was categorised at low-moderate risk from commercial fishing (Ford<em>&#160;et al.</em>&#160;2015).&#160;</p>",Marine,Least Concern,,Etmopteridae,Squaliformes,,,,,,,,pelagic-oceanic,55,TL,753.5,total_length
