scientific_name,redlist_category
Hexanchus griseus,NT
Lamna nasus,VU
Dactylobatus clarkii,LC
Carcharhinus acronotus,EN
Somniosus pacificus,NT
Myliobatis goodei,VU
Etmopterus pusillus,LC
Dipturus oregoni,LC
Etmopterus lucifer,LC
Mustelus norrisi,NT
Carcharhinus isodon,NT
Carcharhinus altimus,NT
Dipturus teevani,LC
Springeria folirostris,LC
Alopias superciliosus,VU
Rajella purpuriventralis,LC
Dipturus olseni,LC
Pteroplatytrygon violacea,LC
Pseudobatos lentiginosus,VU
Squalus suckleyi,LC
Carcharhinus limbatus,VU
Carcharhinus obscurus,EN
Carcharhinus plumbeus,EN
Carcharias taurus,CR
Notorynchus cepedianus,VU
Centrophorus granulosus,EN
Squatina occulta,CR
Odontaspis noronhai,LC
Isurus oxyrinchus,EN
Galeorhinus galeus,CR
Mustelus canis,NT
Carcharhinus brevipinna,VU
Carcharhinus leucas,VU
Carcharhinus longimanus,CR
Galeocerdo cuvier,NT
Negaprion brevirostris,VU
Prionace glauca,NT
Sphyrna lewini,CR
Sphyrna mokarran,CR
Sphyrna zygaena,VU
Pseudobatos horkelii,CR
Carcharhinus galapagensis,LC
Carcharhinus brachyurus,VU
Echinorhinus brucus,EN
Heptranchias perlo,NT
Isistius brasiliensis,LC
Squalus mitsukurii,EN
Mitsukurina owstoni,LC
Galeus mincaronei,VU
Mustelus fasciatus,CR
Schroederichthys saurisqualus,VU
Scyliorhinus haeckelii,DD
Rhinoptera brasiliensis,VU
Sympterygia bonapartii,NT
Sympterygia acuta,CR
Dipturus leptocaudus,VU
Rhizoprionodon lalandii,VU
Gymnura micrura,NT
Rhinoptera bonasus,VU
Styracura schmardae,EN
Hydrolagus alberti,LC
Sphyrna media,CR
Sphyrna tudes,CR
Mustelus schmitti,CR
Mustelus higmani,EN
Mustelus sinusmexicanus,LC
Cirrhigaleus asper,DD
Isistius plutodus,LC
Squaliolus laticaudus,LC
Zameus squamulosus,LC
Carcharhinus perezi,EN
Isogomphodon oxyrhynchus,CR
Carcharhinus signatus,EN
Carcharhinus porosus,CR
Ginglymostoma cirratum,VU
Isurus paucus,EN
Etmopterus bigelowi,LC
Rhizoprionodon porosus,VU
Squalus cubensis,LC
Dalatias licha,VU
Callorhinchus callorynchus,VU
Etmopterus gracilispinis,LC
Dipturus trachydermus,EN
Etmopterus granulosus,LC
Bathytoshia centroura,VU
Gymnura altavela,EN
Dipturus canutus,EN
Raja radula,EN
Squatina dumeril,LC
Cephaloscyllium sarawakensis,CR
Trygonorrhina dumerilii,LC
Deania profundorum,NT
Dipturus oxyrinchus,NT
Raja polystigma,LC
Hydrolagus lusitanicus,LC
Rhinoptera marginata,CR
Carcharhinus melanopterus,VU
Alopias pelagicus,EN
Aptychotrema vincentiana,LC
Callorhinchus milii,LC
Carcharhinus amblyrhynchoides,VU
Carcharhinus cautus,LC
Carcharhinus dussumieri,EN
Carcharhinus fitzroyensis,LC
Carcharhinus sealei,VU
Carcharhinus tilstoni,LC
Centrophorus harrissoni,EN
Centrophorus squamosus,EN
Centroscyllium kamoharai,LC
Centroscymnus owstonii,VU
Centroselachus crepidater,NT
Cirrhigaleus australis,DD
Deania quadrispinosa,VU
Echinorhinus cookei,DD
Etmopterus dianthus,LC
Etmopterus dislineatus,LC
Etmopterus unicolor,DD
Eusphyra blochii,EN
Hemigaleus australiensis,LC
Heterodontus portusjacksoni,LC
Heterodontus zebra,LC
Hexanchus nakamurai,NT
Hydrolagus homonycteris,LC
Iago garricki,LC
Mustelus antarcticus,LC
Mustelus ravidus,LC
Mustelus stevensi,LC
Mustelus walkeri,DD
Orectolobus floridus,LC
Orectolobus halei,LC
Orectolobus hutchinsi,LC
Orectolobus maculatus,LC
Orectolobus ornatus,LC
Orectolobus parvimaculatus,LC
Orectolobus reticulatus,DD
Orectolobus wardi,LC
Pristiophorus delicatus,LC
Pristiophorus nudipinnis,LC
Scymnodon plunketi,VU
Rhizoprionodon acutus,VU
Rhizoprionodon taylori,LC
Scymnodalatias albicauda,DD
Somniosus antarcticus,LC
Squalus altipinnis,DD
Squalus chloroculus,EN
Squalus edmundsi,NT
Squalus grahami,NT
Squalus megalops,LC
Squalus montalbani,VU
Squalus nasutus,NT
Squatina albipunctata,VU
Squatina australis,LC
Squatina pseudocellata,LC
Squatina tergocellata,LC
Sutorectus tentaculatus,LC
Carcharhinus coatesi,LC
Carcharhinus tjutjot,VU
Mustelus californicus,LC
Mustelus henlei,LC
Mustelus lunulatus,LC
Triakis semifasciata,LC
Hypanus dipterurus,VU
Myliobatis californicus,LC
Centroscyllium nigrum,LC
Rhinobatos schlegelii,CR
Rhinobatos whitei,CR
Bathytoshia brevicaudata,LC
Hemitrygon akajei,NT
Hemitrygon bennetti,VU
Hypanus americanus,NT
Fontitrygon colarensis,CR
Fontitrygon geijskesi,CR
Fontitrygon ukpam,CR
Brevitrygon heterura,VU
Maculabatis macrura,EN
Urogymnus dalyensis,LC
Urogymnus polylepis,EN
Pastinachus gracilicaudus,EN
Carcharhinus leiodon,EN
Halaelurus boesemani,VU
Heteronarce mollis,DD
Narcine oculifera,DD
Brevitrygon imbricata,VU
Pastinachus sephen,NT
Squatina africana,NT
Squatina legnota,CR
Carcharhinus obsoletus,CR
Mustelus lenticulatus,LC
Cephaloscyllium isabellum,LC
Dipturus innominatus,LC
Dipturus nasutus,LC
Gollum attenuatus,LC
Hydrolagus bemisi,LC
Hydrolagus novaezealandiae,LC
Squalus melanurus,DD
Somniosus longus,DD
Squalus bucephalus,DD
Scymnodon ringens,VU
Squalus griffini,LC
Squatina aculeata,CR
Squatina oculata,CR
Squatina armata,CR
Squatina argentina,CR
Taeniura lymma,LC
Telatrygon biasa,VU
Centroscymnus macracanthus,DD
Tetronarce nobiliana,LC
Etmopterus viator,LC
Squatina caillieti,DD
Squatina david,NT
Squatina squatina,CR
Lamna ditropis,LC
Haploblepharus edwardsii,EN
Poroderma africanum,LC
Hemitriakis leucoperiptera,CR
Hypogaleus hyugaensis,DD
Mustelus asterias,NT
Mustelus mustelus,EN
Triakis acutipinna,EN
Triakis megalopterus,LC
Carcharhinus borneensis,CR
Rhizoprionodon terraenovae,LC
Urogymnus asperrimus,EN
Centrophorus uyato,EN
Chlamydoselachus anguineus,LC
Cirrhigaleus barbifer,LC
Hemigaleus microstoma,VU
Chiloscyllium punctatum,NT
Hemipristis elongata,EN
Odontaspis ferox,EN
Stegostoma tigrinum,EN
Apristurus melanoasper,LC
Apristurus fedorovi,LC
Apristurus longicephalus,LC
Apristurus macrostomus,LC
Apristurus micropterygeus,LC
Pliotrema warreni,LC
Centrophorus isodon,EN
Etmopterus sheikoi,LC
Pseudotriakis microdon,LC
Centroscyllium granulatum,VU
Scymnodalatias oligodon,LC
Mustelus dorsalis,VU
Pseudobatos planiceps,VU
Sphyrna corona,CR
Sympterygia brevicaudata,NT
Cephaloscyllium sufflans,NT
Dipturus lanceorostratus,DD
Dipturus pullopunctatus,LC
Dipturus stenorhynchus,DD
Halaelurus natalensis,VU
Pseudoginglymostoma brevicaudatum,CR
Rajella leoparda,LC
Urotrygon chilensis,NT
Galeus polli,VU
Rajella barnardi,LC
Rajella dissimilis,LC
Urolophus kaianus,DD
Plesiobatis daviesi,LC
Gymnura zonura,EN
Gymnura poecilura,VU
Myliobatis longirostris,VU
Rhinoptera javanica,EN
Torpedo panthera,EN
Neoharriotta carri,NT
Neoharriotta pinnata,NT
Hemitrygon izuensis,VU
Hypanus longus,VU
Taeniurops meyeni,VU
Rhinobatos hynnicephalus,EN
Pseudobatos leucorhynchus,VU
Zapteryx xyster,VU
Hydrolagus africanus,LC
Hydrolagus macrophthalmus,LC
Hydrolagus purpurescens,LC
Mustelus minicanis,EN
Centrophorus tessellatus,EN
Somniosus microcephalus,VU
Pristiophorus schroederi,LC
Etmopterus carteri,LC
Etmopterus perryi,LC
Etmopterus princeps,LC
Etmopterus virens,LC
Mustelus palumbes,LC
Narcine brevilabiata,VU
Hydrolagus pallidus,LC
Hydrolagus mirabilis,LC
Hydrolagus affinis,LC
Mustelus whitneyi,CR
Psammobatis scobina,LC
Oxynotus centrina,EN
Galeus atlanticus,NT
Pseudobatos prahli,VU
Rhinobatos albomaculatus,CR
Etmopterus burgessi,LC
Torpedo marmorata,VU
Galeus schultzi,LC
Scyliorhinus boa,LC
Raja herwigi,DD
Dipturus tengu,NT
Nasolamia velox,EN
Myliobatis tobijei,VU
Sinobatis melanosoma,LC
Oxynotus paradoxus,VU
Scymnodon ichiharai,VU
Hemitriakis complicofasciata,VU
Rajella lintea,LC
Sinobatis borneensis,LC
Etmopterus spinax,VU
Dipturus gigas,NT
Triakis scyllium,EN
Galeus melastomus,LC
Scyliorhinus canicula,LC
Galeus sauteri,LC
Squalus hemipinnis,VU
Dipturus bullisi,LC
Urogymnus granulatus,EN
Somniosus rostratus,LC
Squalus japonicus,EN
Scyliorhinus torazame,LC
Pentanchus profundicolus,LC
Squalus brevirostris,EN
Etmopterus splendidus,LC
Mustelus albipinnis,LC
Dasyatis pastinaca,VU
Pseudobatos glaucostigmus,VU
Scyliorhinus garmani,DD
Pastinachus solocirostris,EN
Galeus arae,LC
Mustelus punctulatus,VU
Dichichthys melanobranchus,LC
Hemitriakis japanica,EN
Centroscyllium ritteri,LC
Rajella fuliginea,LC
Poroderma pantherinum,LC
Gymnura tentaculata,CR
Centroscyllium fabricii,LC
Narcine lingula,VU
Carcharhinus albimarginatus,VU
Okamejei hollandi,VU
Maculabatis pastinacoides,EN
Paragaleus tengi,EN
Urogymnus lobistoma,EN
Dactylobatus armatus,LC
Narcine maculata,VU
Orectolobus japonicus,LC
Dipturus garricki,LC
Galeus nipponensis,LC
Mustelus widodoi,VU
Megatrygon microps,DD
Etmopterus decacuspidatus,LC
Narke dipterygia,VU
Tetronarce formosa,NT
Torpedo suessii,CR
Pateobatis fai,VU
Chiloscyllium burmensis,VU
Himantura undulata,EN
Mustelus manazo,EN
Pristiophorus japonicus,LC
Halaelurus maculosus,NT
Okamejei kenojei,VU
Haploblepharus pictus,LC
Rhizoprionodon longurio,VU
Sinobatis stenosoma,LC
Holohalaelurus punctatus,EN
Halaelurus buergeri,EN
Himantura uarnak,EN
Galeus murinus,LC
Mustelus griseus,EN
Rajella annandalei,LC
Cephaloscyllium umbratile,NT
Dipturus nidarosiensis,EN
Okamejei boesemani,VU
Atelomycterus baliensis,LC
Dipturus macrocauda,NT
Centroscyllium excelsum,NT
Hemitrygon navarrae,VU
Pateobatis jenkinsii,EN
Heteronarce garmani,NT
Squalus bassi,LC
Hydrolagus melanophasma,LC
Squalus mahia,DD
Himantura leoparda,EN
Gymnura marmorata,NT
Gymnura crebripunctata,NT
Pastinachus ater,VU
Squalus acanthias,VU
Hydrolagus erithacus,DD
Squalus albicaudus,DD
Squalus bahiensis,DD
Squalus lobularis,DD
Squalus quasimodo,DD
Squatina varii,LC
Squatina guggenheim,EN
Squatina formosa,EN
Squatina nebulosa,EN
Squatina tergocellatoides,EN
Squatina japonica,CR
Mustelus mosis,NT
Carcharhinus humani,DD
Chlamydoselachus africana,LC
Pristiophorus nancyae,LC
Dipturus johannisdavisi,DD
Dipturus springeri,LC
Carcharhinus cerdale,CR
Ginglymostoma unami,EN
Styracura pacifica,VU
Squalus hawaiiensis,LC
Etmopterus lailae,DD
Etmopterus marshae,LC
Pristiophorus lanae,NT
Dichichthys nigripalatum,DD
Cephaloscyllium pictum,DD
Gollum suluensis,LC
Planonasus indicus,DD
Dipturus amphispinus,DD
Centrophorus lesliei,EN
Cephaloscyllium fasciatum,CR
Squalus formosus,EN
Etmopterus joungi,LC
Cephaloscyllium formosanum,LC
Scoliodon macrorhynchos,NT
Platyrhina hyugaensis,VU
Platyrhina tangi,VU
Lamiopsis tephrodes,EN
Akheilos suwartanai,DD
Pseudocarcharias kamoharai,LC
Sphyrna gilberti,DD
Carcharhinus amblyrhynchos,EN
Carcharhinus amboinensis,VU
Carcharhinus macloti,NT
Carcharhinus sorrah,NT
Loxodon macrorhinus,NT
Negaprion acutidens,EN
Rhizoprionodon oligolinx,NT
Triaenodon obesus,VU
Nebrius ferrugineus,VU
Iago omanensis,LC
Maculabatis bineeshi,CR
Maculabatis gerrardi,EN
Neotrygon caeruleopunctata,LC
Pateobatis bleekeri,EN
Pateobatis uarnacoides,EN
Rhinoptera jayakari,EN
Hemitriakis indroyonoi,EN
Orectolobus leptolineatus,NT
Rhinobatos ranongensis,VU
Platyrhina psomadakisi,NT
Squatina californica,NT
Narcine prodorsalis,EN
Narcine timlei,VU
Squalus blainville,DD
Gymnura sereti,EN
Somniosus cheni,DD
Callorhinchus capensis,LC
Squalus boretzi,NT
Dipturus chilensis,EN
Psammobatis rudis,LC
Myliobatis freminvillei,VU
Mustelus mento,CR
Sphyrna tiburo,EN
Carcharhinus falciformis,VU
Schroederobatis americana,LC
Centroscymnus coelolepis,NT
Squalus clarkae,LC
Gymnura lessae,LC
Hemitriakis abdita,DD
Pristiophorus cirratus,LC
Squalus shiraii,VU
Etmopterus brosei,LC
Mustelus andamanensis,VU
Neotrygon orientalis,LC
Neotrygon varidens,LC
Carcharodon carcharias,VU
Alopias vulpinus,VU
Glaucostegus younholeei,CR
Squatina mapama,LC
Scyliorhinus hachijoensis,LC
Carcharhinus hemiodon,CR
Hexanchus vitulus,LC
Heterodontus mexicanus,LC
Centrophorus atromarginatus,CR
Centrophorus longipinnis,EN
Centrophorus moluccensis,VU
Deania calceus,NT
