Superorder,Order,Family,Species,Parity Mode,Trophic Mode,Vertebrate Reproductive Category,Reproductive Mode,Reference
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_akajei,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_americana,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_bennetti,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_brevicaudata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_centroura,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_chrysonota,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_dipterura,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_fluviorum,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_izuensis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laevigata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_laosensis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_lata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_longa,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margarita,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_margaritella,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_matsubarai,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_microps,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_navarrae,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_parvonigra,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_pastinaca,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_sabina,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_say,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_thetidis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_ushiei,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis_zugei,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_astra,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_fai,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_gerrardi,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_granulata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_hortlei,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_imbricata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_jenkinsii,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_leoparda,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_lobistoma,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_oxyrhyncha,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_pacifica,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_pastinacoides,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_polylepis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_schmardae,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_signifer,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_toshi,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_uarnacoides,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_uarnak,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_undulata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Himantura_walga,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Neotrygon_annotata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Neotrygon_kuhlii,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Neotrygon_leylandi,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Neotrygon_ningalooensis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Neotrygon_picta,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pastinachus_atrus,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pastinachus_gracilicaudus,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pastinachus_sephen,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pastinachus_solocirostris,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pastinachus_stellurostris,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Pteroplatytrygon_violacea,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Taeniura_lymma,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Taeniurops_grabata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Taeniurops_meyeni,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Dasyatidae,Urogymnus_asperrimus,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_altavela,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_australis,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_crebripunctata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_japonica,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_marmorata,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_micrura,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_poecilura,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Gymnuridae,Gymnura_zonura,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Hexatrygonidae,Hexatrygon_bickelli,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Manta_birostris,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_hypostoma,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_japanica,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_kuhlii,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_munkiana,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_tarapacana,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Mobulidae,Mobula_thurstoni,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Myliobatidae,Aetobatus_flagellum,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
Batoidea,Myliobatiformes,Myliobatidae,Aetobatus_narinari,Viviparity,Matrotrophic,Matrotrophic Viviparity,Lipid Histotrophy,S8
