scientific_name,f,f_mort,mid_avm,mid_prm
Aculeola nigra,0.04026656161539577,0.025501481519956834,0.33,0.0547513572204126
Alopias pelagicus,0.06186106275,0.03323762818765302,0.15884057971014495,0.361244966442953
Alopias superciliosus,0.04859941725,0.02611221483892322,0.15884057971014495,0.361244966442953
Alopias vulpinus,0.06190762500000001,0.03499550881178765,0.11501923076923076,0.361244966442953
Apristurus albisoma,0.05447083000691234,0.034853160579922854,0.33,0.045
Apristurus ampliceps,0.05447083000691234,0.034853160579922854,0.33,0.045
Apristurus aphyodes,0.02417077023656538,0.01895046864216653,0.17903225806451611,0.045
Apristurus australis,0.02417077023656538,0.01907038639731525,0.17383720930232557,0.045
Apristurus brunneus,0.03080610778404575,0.02480091916316279,0.157,0.045
Apristurus bucephalus,0.02417077023656538,0.01907038639731525,0.17383720930232557,0.045
Apristurus exsanguis,0.02417077023656538,0.01907038639731525,0.17383720930232557,0.045
Apristurus fedorovi,0.01224239730944418,0.009659073535330102,0.17383720930232557,0.045
Apristurus garricki,0.02417077023656538,0.01907038639731525,0.17383720930232557,0.045
Apristurus gibbosus,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus herklotsi,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus internatus,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus japonicus,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus laurussonii,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus longicephalus,0.05447083000691234,0.0429766931482735,0.17383720930232557,0.045
Apristurus macrorhynchus,0.05447083000691234,0.034853160579922854,0.33,0.045
Apristurus macrostomus,0.05447083000691234,0.04385255875951488,0.157,0.045
Apristurus manis,0.05447083000691234,0.034853160579922854,0.33,0.045
Apristurus melanoasper,0.04076096491588672,0.03215980886274921,0.17383720930232557,0.045
Apristurus microps,0.0697385377560006,0.044622203383176975,0.33,0.045
Apristurus micropterygeus,0.0697385377560006,0.05502269264794731,0.17383720930232557,0.045
Apristurus nasutus,0.0697385377560006,0.05614405589853462,0.157,0.045
Apristurus pinguis,0.0697385377560006,0.05502269264794731,0.17383720930232557,0.045
Apristurus platyrhynchus,0.0697385377560006,0.05502269264794731,0.17383720930232557,0.045
Apristurus profundorum,0.0697385377560006,0.049020297732620934,0.2639628482972136,0.045
Apristurus saldanha,0.0697385377560006,0.05614405589853462,0.157,0.045
Apristurus sinensis,0.06710511673968408,0.052944961742541846,0.17383720930232557,0.045
Asymbolus analis,0.0697385377560006,0.04087303207092252,0.3799625,0.0547513572204126
Asymbolus occiduus,0.0811285324105828,0.06295725369720613,0.17903225806451611,0.0547513572204126
Asymbolus pallidus,0.0811285324105828,0.051645068507309745,0.33,0.04987567861020629
Asymbolus parvus,0.0811285324105828,0.05644421251080397,0.2639628482972136,0.0547513572204126
Asymbolus rubiginosus,0.0811285324105828,0.059984460800094036,0.2177977207977208,0.0547513572204126
Asymbolus vincenti,0.11890623171541068,0.08791637150691944,0.2177977207977208,0.0547513572204126
Atelomycterus baliensis,0.10017915859559236,0.08688131447163931,0.091875,0.045
Atelomycterus erdmanni,0.10413012591408044,0.05669069236159828,0.429925,0.045
Atelomycterus fasciatus,0.10413012591408044,0.06594733632914389,0.33,0.0547513572204126
Atelomycterus macleayi,0.10413012591408044,0.05669069236159828,0.429925,0.045
Atelomycterus marmoratus,0.10022306539027856,0.07044834410346751,0.2639628482972136,0.045
Atelomycterus marnkalha,0.00699634707708465,0.004476612677272613,0.33,0.045
