family,genus.x,hooks_per_set,hook,leader,source,sample_size,estimate,scientific_name,gear_class,species,f_bname,habitat_associated,max_size_cm,measure,median_depth,reproductive_mode,ventilation_method,estimate_type,method,group,order,genus,ac,ac_new_gen,ac_new_fam
Etmopteridae,,,,,this study,,,Aculeola nigra,,nigra,,demersal,60,,335,yolk-sac viviparity,stationary,,,,Squaliformes,Aculeola,6.7768227272727275,,6.7768227272727275
Alopiidae,,,,,this study,,,Alopias pelagicus,,pelagicus,,pelagic,428,,150,oophagy,ram,,,,Lamniformes,Alopias,9.7281,9.7281,9.7281
Alopiidae,,,,,this study,,,Alopias superciliosus,,superciliosus,,pelagic,484,,361.5,oophagy,ram,,,,Lamniformes,Alopias,11.023,11.023,11.023
Alopiidae,,,,,this study,,,Alopias vulpinus,,vulpinus,,pelagic,573.3,,325,oophagy,ram,,,,Lamniformes,Alopias,8.7014,8.7014,8.7014
Pentanchidae,,,,,this study,,,Apristurus albisoma,,albisoma,,bathydemersal,59.6,,1249.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,6.9416,6.9416,6.9416
Pentanchidae,,,,,this study,,,Apristurus ampliceps,,ampliceps,,bathydemersal,85.5,,1151.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,7.0717,7.0717,7.0717
Pentanchidae,,,,,this study,,,Apristurus aphyodes,,aphyodes,,bathypelagic,55,,1407,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus australis,,australis,,bathypelagic,61.59999847,,760.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus brunneus,,brunneus,,demersal,69.3,,682.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,6.6187,6.6187,6.6187
Pentanchidae,,,,,this study,,,Apristurus bucephalus,,bucephalus,,bathydemersal,67.5,,1085,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus exsanguis,,exsanguis,,bathydemersal,90.80000305,,880,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.1806,5.1806,5.1806
Pentanchidae,,,,,this study,,,Apristurus fedorovi,,fedorovi,,bathypelagic,68.30000305,,800,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus garricki,,garricki,,bathydemersal,67.5,,858.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus gibbosus,,gibbosus,,bathydemersal,54.8,,756.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus herklotsi,,herklotsi,,bathydemersal,48.5,,698.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus internatus,,internatus,,bathypelagic,41.9,,600,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus japonicus,,japonicus,,bathydemersal,71.1,,867.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus laurussonii,,laurussonii,,bathydemersal,76,,1055,oviparous,stationary,,,,Carcharhiniformes,Apristurus,3.6345,3.6345,3.6345
Pentanchidae,,,,,this study,,,Apristurus longicephalus,,longicephalus,,bathydemersal,60,,815,oviparous,stationary,,,,Carcharhiniformes,Apristurus,1.4606,1.4606,1.4606
Pentanchidae,,,,,this study,,,Apristurus macrorhynchus,,macrorhynchus,,bathydemersal,67.4,,680,oviparous,stationary,,,,Carcharhiniformes,Apristurus,7.7111,7.7111,7.7111
Pentanchidae,,,,,this study,,,Apristurus macrostomus,,macrostomus,,bathydemersal,57.3,,644.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus manis,,manis,,bathydemersal,85,,1250,oviparous,stationary,,,,Carcharhiniformes,Apristurus,3.908,3.908,3.908
Pentanchidae,,,,,this study,,,Apristurus melanoasper,,melanoasper,,bathypelagic,76.09999847,,1016,oviparous,stationary,,,,Carcharhiniformes,Apristurus,3.3655,3.3655,3.3655
Pentanchidae,,,,,this study,,,Apristurus microps,,microps,,bathydemersal,61,,1600,oviparous,stationary,,,,Carcharhiniformes,Apristurus,4.9465,4.9465,4.9465
Pentanchidae,,,,,this study,,,Apristurus micropterygeus,,micropterygeus,,bathydemersal,38.1,,913,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus nasutus,,nasutus,,bathydemersal,70,,662.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus pinguis,,pinguis,,bathypelagic,83.5,,600,oviparous,stationary,,,,Carcharhiniformes,Apristurus,5.45665,5.45665,15.2966675
Pentanchidae,,,,,this study,,,Apristurus platyrhynchus,,platyrhynchus,,bathypelagic,80,,740,oviparous,stationary,,,,Carcharhiniformes,Apristurus,6.2562,6.2562,6.2562
Pentanchidae,,,,,this study,,,Apristurus profundorum,,profundorum,,bathydemersal,76,,1425,oviparous,stationary,,,,Carcharhiniformes,Apristurus,13.973,13.973,13.973
Pentanchidae,,,,,this study,,,Apristurus saldanha,,saldanha,,bathydemersal,88.5,,676.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,4.2887,4.2887,4.2887
Pentanchidae,,,,,this study,,,Apristurus sinensis,,sinensis,,bathydemersal,75,,913.5,oviparous,stationary,,,,Carcharhiniformes,Apristurus,1.0364,1.0364,1.0364
Pentanchidae,,,,,this study,,,Asymbolus analis,,analis,,reef-associated,90,,95,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,6.6223,6.6223,6.6223
Pentanchidae,,,,,this study,,,Asymbolus occiduus,,occiduus,,pelagic,60.09999847,,249,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,6.014,6.014,6.014
Pentanchidae,,,,,this study,,,Asymbolus pallidus,,pallidus,,bathypelagic,43.90000153,,313.5,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,9.5367,9.5367,9.5367
Pentanchidae,,,,,this study,,,Asymbolus parvus,,parvus,,pelagic,34.90000153,,210,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,11.033,11.033,11.033
Pentanchidae,,,,,this study,,,Asymbolus rubiginosus,,rubiginosus,,pelagic,39.29999924,,282.5,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,6.5864,6.5864,6.5864
Pentanchidae,,,,,this study,,,Asymbolus vincenti,,vincenti,,reef-associated,61,,338.5,oviparous,stationary,,,,Carcharhiniformes,Asymbolus,6.3118,6.3118,6.3118
Scyliorhinidae,,,,,this study,,,Atelomycterus baliensis,,baliensis,,demersal,520,,32.5,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,10.984,10.984,9.250036363636363
Scyliorhinidae,,,,,this study,,,Atelomycterus erdmanni,,erdmanni,,reef-associated,50.09999847,,32.5,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,10.984,10.984,9.250036363636363
Scyliorhinidae,,,,,this study,,,Atelomycterus fasciatus,,fasciatus,,demersal,45,,74.5,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,10.984,10.984,9.250036363636363
Scyliorhinidae,,,,,this study,,,Atelomycterus macleayi,,macleayi,,reef-associated,60,,2,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,1,1,1
Scyliorhinidae,,,,,this study,,,Atelomycterus marmoratus,,marmoratus,,reef-associated,70,,52.5,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,20.968,20.968,20.968
Scyliorhinidae,,,,,this study,,,Atelomycterus marnkalha,,marnkalha,,benthopelagic,47,,42.5,oviparous,stationary,,,,Carcharhiniformes,Atelomycterus,10.984,10.984,9.250036363636363
Scyliorhinidae,,,,,this study,,,Aulohalaelurus kanakorum,,kanakorum,,reef-associated,78.5,,49,oviparous,stationary,,,,Carcharhiniformes,Aulohalaelurus,4.9994,4.9994,9.250036363636363
Scyliorhinidae,,,,,this study,,,Aulohalaelurus labiosus,,labiosus,,demersal,67,,2,oviparous,stationary,,,,Carcharhiniformes,Aulohalaelurus,4.9994,4.9994,4.9994
Brachaeluridae,,,,,this study,,,Brachaelurus colcloughi,,colcloughi,,demersal,76,,110.5,yolk-sac viviparity,stationary,,,,Orectolobiformes,Brachaelurus,2.3238,2.3238,2.3238
Brachaeluridae,,,,,this study,,,Brachaelurus waddi,,waddi,,reef-associated,122,,70,yolk-sac viviparity,stationary,,,,Orectolobiformes,Brachaelurus,4.6517,4.6517,4.6517
Pentanchidae,,,,,this study,,,Bythaelurus bachi,,bachi,,pelagic,42.20000076,,1137.5,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,97.029375,97.029375,15.2966675
Pentanchidae,,,,,this study,,,Bythaelurus canescens,,canescens,,bathydemersal,70,,475,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,5.1264,5.1264,5.1264
Pentanchidae,,,,,this study,,,Bythaelurus clevai,,clevai,,bathydemersal,40,,450,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,97.029375,97.029375,15.2966675
Pentanchidae,,,,,this study,,,Bythaelurus dawsoni,,dawsoni,,bathydemersal,45,,625,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,4.3992000000000004,4.3992000000000004,4.3992000000000004
Pentanchidae,,,,,this study,,,Bythaelurus hispidus,,hispidus,,bathydemersal,26,,301.5,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,375.29,375.29,375.29
Pentanchidae,,,,,this study,,,Bythaelurus immaculatus,,immaculatus,,bathydemersal,71,,777,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,97.029375,97.029375,15.2966675
Pentanchidae,,,,,this study,,,Bythaelurus lutarius,,lutarius,,bathydemersal,34,,552,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,3.3019,3.3019,3.3019
Pentanchidae,,,,,this study,,,Bythaelurus naylori,,naylori,,demersal,51.09999847,,766,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,97.029375,97.029375,15.2966675
Pentanchidae,,,,,this study,,,Bythaelurus tenuicephalus,,tenuicephalus,,pelagic,300,,506.5,oviparous,stationary,,,,Carcharhiniformes,Bythaelurus,97.029375,97.029375,15.2966675
Carcharhinidae,,,,,this study,,,Carcharhinus acronotus,,acronotus,,reef-associated,200,,36.5,oviparous,ram,,,,Carcharhiniformes,Carcharhinus,8.3419,8.3419,8.3419
Carcharhinidae,,,,,this study,,,Carcharhinus albimarginatus,,albimarginatus,,reef-associated,300,,400.5,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,3.5185,3.5185,3.5185
Carcharhinidae,,,,,this study,,,Carcharhinus altimus,,altimus,,reef-associated,300,,411,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,17.283,17.283,17.283
Carcharhinidae,,,,,this study,,,Carcharhinus amblyrhynchoides,,amblyrhynchoides,,benthopelagic,182,,37.5,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus amboinensis,,amboinensis,,reef-associated,280,,50,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus borneensis,,borneensis,,demersal,70,,25,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus cautus,,cautus,,reef-associated,150,,10,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus cerdale,,cerdale,,demersal,140,,20,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus coatesi,,coatesi,,reef-associated,87,,61.5,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus fitzroyensis,,fitzroyensis,,demersal,135,,20,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus hemiodon,,hemiodon,,demersal,200,,80,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus humani,,humani,,benthopelagic,84.40000153,,39.5,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus isodon,,isodon,,demersal,200,,10,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,16.403,16.403,16.403
Carcharhinidae,,,,,this study,,,Carcharhinus leiodon,,leiodon,,demersal,165,,35,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus longimanus,,longimanus,,pelagic,350,,541,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.5821,9.5821,9.5821
Carcharhinidae,,,,,this study,,,Carcharhinus macloti,,macloti,,demersal,110,,100.5,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus melanopterus,,melanopterus,,reef-associated,180,,50,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,7.9127,7.9127,7.9127
Carcharhinidae,,,,,this study,,,Carcharhinus obsoletus,,obsoletus,,demersal,100,,25,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus porosus,,porosus,,demersal,150,,42,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,3.888,3.888,3.888
Carcharhinidae,,,,,this study,,,Carcharhinus sealei,,sealei,,reef-associated,100,,20,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus tilstoni,,tilstoni,,benthopelagic,200,,75,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Carcharhinidae,,,,,this study,,,Carcharhinus tjutjot,,tjutjot,,reef-associated,93.69999695,,50,placental viviparity,ram,,,,Carcharhiniformes,Carcharhinus,9.387716438356165,9.387716438356165,9.81085390070922
Odontaspididae,,,,,this study,,,Carcharias taurus,,taurus,,reef-associated,330,,96,oophagy,ram,,,,Lamniformes,Carcharias,9.0956,9.0956,9.0956
Lamnidae,,,,,this study,,,Carcharodon carcharias,,carcharias,,pelagic,594.4,,600,oophagy,ram,,,,Lamniformes,Carcharodon,7.7326,7.7326,7.7326
Centrophoridae,,,,,this study,,,Centrophorus atromarginatus,,atromarginatus,,bathydemersal,87,,316.5,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Centrophoridae,,,,,this study,,,Centrophorus granulosus,,granulosus,,bathydemersal,176,,775,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.3579,9.3579,9.3579
Centrophoridae,,,,,this study,,,Centrophorus harrissoni,,harrissoni,,bathydemersal,111.4000015,,520,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,6.4469,6.4469,6.4469
Centrophoridae,,,,,this study,,,Centrophorus isodon,,isodon,,bathydemersal,108.2,,602.5,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Centrophoridae,,,,,this study,,,Centrophorus lesliei,,lesliei,,bathydemersal,76.5,,490,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Centrophoridae,,,,,this study,,,Centrophorus longipinnis,,longipinnis,,bathydemersal,77.5,,395,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Centrophoridae,,,,,this study,,,Centrophorus moluccensis,,moluccensis,,bathydemersal,100,,474,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,6.732,6.732,6.732
Centrophoridae,,,,,this study,,,Centrophorus tessellatus,,tessellatus,,benthopelagic,89,,376,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Centrophoridae,,,,,this study,,,Centrophorus uyato,,uyato,,bathydemersal,110,,725,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,18.488,18.488,18.488
Centrophoridae,,,,,this study,,,Centrophorus westraliensis,,westraliensis,,bathydemersal,90.9,,683,yolk-sac viviparity,stationary,,,,Squaliformes,Centrophorus,9.716271428571428,9.716271428571428,10.075856250000001
Etmopteridae,,,,,this study,,,Centroscyllium excelsum,,excelsum,,bathydemersal,63.59999847,,900,yolk-sac viviparity,stationary,,,,Squaliformes,Centroscyllium,4.034025,4.034025,6.7768227272727275
