scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Somniosus pacificus,,Somniosidae,pelagic,440,stationary,lecithotrophic viviparity,1102.5,3.75285,,this study,Somniosus,pacificus
Etmopterus lucifer,,Etmopteridae,pelagic,55,stationary,lecithotrophic viviparity,753.5,9.0476,Squaliformes,this study,Etmopterus,lucifer
Squalus suckleyi,,Squalidae,pelagic,130,stationary,lecithotrophic viviparity,618,4.6723,Squaliformes,this study,Squalus,suckleyi
Squatina occulta,,Squatinidae,demersal,120,stationary,lecithotrophic viviparity,177.5,10.32279231,Squatiniformes,this study,Squatina,occulta
Echinorhinus brucus,,Echinorhinidae,demersal,310,stationary,lecithotrophic viviparity,455,6.4253,Squaliformes,this study,Echinorhinus,brucus
Squalus mitsukurii,,Squalidae,pelagic,112,stationary,lecithotrophic viviparity,479,7.7126,Squaliformes,this study,Squalus,mitsukurii
Mitsukurina owstoni,,Mitsukurinidae,demersal,617,ram,matrotrophic viviparity,665,6.6086,Lamniformes,this study,Mitsukurina,owstoni
Galeus mincaronei,,Pentanchidae,demersal,48.8,stationary,lecithotrophic oviparity,365,6.907833333,,this study,Galeus,mincaronei
Mustelus fasciatus,,Triakidae,demersal,150,ram,lecithotrophic viviparity,125.5,7.3961,,this study,Mustelus,fasciatus
Schroederichthys saurisqualus,,Scyliorhinidae,demersal,69.2,stationary,lecithotrophic oviparity,311,6.812653333,,this study,Schroederichthys,saurisqualus
Scyliorhinus haeckelii,,Scyliorhinidae,demersal,64.7,stationary,lecithotrophic oviparity,310,8.9634,,this study,Scyliorhinus,haeckelii
Rhizoprionodon lalandii,,Carcharhinidae,demersal,102.1,ram,matrotrophic viviparity,35,7.117931034,Carcharhiniformes,this study,Rhizoprionodon,lalandii
Sphyrna media,,Sphyrnidae,demersal,150,ram,matrotrophic viviparity,50,11.45743775,Carcharhiniformes,this study,Sphyrna,media
Sphyrna tudes,,Sphyrnidae,pelagic,134,ram,matrotrophic viviparity,42.5,8.8064,Carcharhiniformes,this study,Sphyrna,tudes
Mustelus schmitti,,Triakidae,demersal,108.5,ram,lecithotrophic viviparity,98.5,6.6001,,this study,Mustelus,schmitti
Mustelus higmani,,Triakidae,demersal,77.40000153,ram,lecithotrophic viviparity,450.5,9.853114,,this study,Mustelus,higmani
Mustelus sinusmexicanus,,Triakidae,pelagic,83,ram,lecithotrophic viviparity,135,9.4027,,this study,Mustelus,sinusmexicanus
Cirrhigaleus asper,,Squalidae,demersal,120,stationary,lecithotrophic viviparity,425,8.3281,Squaliformes,this study,Cirrhigaleus,asper
Isistius plutodus,,Dalatiidae,pelagic,42.3,ram,lecithotrophic viviparity,1045,15.604,,this study,Isistius,plutodus
Squaliolus laticaudus,,Dalatiidae,pelagic,27.5,stationary,lecithotrophic viviparity,905,7.4546,Squaliformes,this study,Squaliolus,laticaudus
Zameus squamulosus,,Somniosidae,demersal,84,stationary,lecithotrophic viviparity,755.5,2.0601,Squaliformes,this study,Zameus,squamulosus
Carcharhinus perezi,1,Carcharhinidae,reef-associated,295,ram,matrotrophic viviparity,189,7.6352,Carcharhiniformes,Gilman et al (2022),Carcharhinus,perezi
Carcharhinus perezi,0.2,Carcharhinidae,reef-associated,295,ram,matrotrophic viviparity,189,7.6352,Carcharhiniformes,Gilman et al (2022),Carcharhinus,perezi
Carcharhinus perezi,0,Carcharhinidae,reef-associated,295,ram,matrotrophic viviparity,189,7.6352,Carcharhiniformes,Gilman et al (2022),Carcharhinus,perezi
Carcharhinus perezi,1,Carcharhinidae,reef-associated,295,ram,matrotrophic viviparity,189,7.6352,Carcharhiniformes,Gilman et al (2022),Carcharhinus,perezi
Carcharhinus perezi,,Carcharhinidae,pelagic,295,ram,matrotrophic viviparity,189,7.6352,Carcharhiniformes,this study,Carcharhinus,perezi
Isogomphodon oxyrhynchus,,Carcharhinidae,demersal,160,ram,matrotrophic viviparity,22,9.776036695,,this study,Isogomphodon,oxyrhynchus
Etmopterus bigelowi,,Etmopteridae,pelagic,67,stationary,lecithotrophic viviparity,581.5,6.8893,Squaliformes,this study,Etmopterus,bigelowi
Rhizoprionodon porosus,,Carcharhinidae,pelagic,110,ram,matrotrophic viviparity,250,7.117931034,Carcharhiniformes,this study,Rhizoprionodon,porosus
Etmopterus gracilispinis,,Etmopteridae,pelagic,35,stationary,lecithotrophic viviparity,612.5,7.6064,Squaliformes,this study,Etmopterus,gracilispinis
Etmopterus granulosus,,Etmopteridae,pelagic,86,stationary,lecithotrophic viviparity,920,6.274288889,Squaliformes,this study,Etmopterus,granulosus
Squatina dumeril,,Squatinidae,demersal,152,stationary,lecithotrophic viviparity,688,6.6795,Squatiniformes,this study,Squatina,dumeril
