scientific_name,family,group,gear_class,habitat_associated,estimate_type,estimate,sample_size,method,ventilation_method,max_size_cm,median_depth,reproductive_mode,reference
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.225,40,satellite tag,ram,383.5,500,placental viviparity,Campana et al 2009
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.2,10,satellite tag,ram,383.5,500,placental viviparity,Stevens et al 2010
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.24,37,satellite tag,ram,383.5,500,placental viviparity,Campana et al 2016
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.06,16,satellite tag,ram,383.5,500,placental viviparity,Musyl et al 2011
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.08,12,satellite tag,ram,383.5,500,placental viviparity,Hutchinson 2016
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.16,48,satellite tag,ram,383.5,500,placental viviparity,Musyl and Gilman 2018
Prionace glauca,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.13,23,satellite tag,ram,383.5,500,placental viviparity,Howey et al 2017
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.44,27,satellite tag,ram,350,250,placental viviparity,Poisson et al 2014
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.39,23,satellite tag,ram,350,250,placental viviparity,Hutchinson et al 2015
Carcharhinus falciformis,Carcharhinidae,Sharks,purse seine,reef-associated,post-release mortality,0.61,13,satellite tag,ram,350,250,placental viviparity,Eddy et al 2016
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.05,10,satellite tag,ram,350,250,placental viviparity,Musyl et al 2011
Carcharhinus falciformis,Carcharhinidae,Sharks,longline,reef-associated,post-release mortality,0.2,35,satellite tag,ram,350,250,placental viviparity,Musyl et al 2016
Carcharhinus falciformis,Carcharhinidae,Sharks,pole and line,reef-associated,post-release mortality,0.26,20,satellite tag,ram,350,250,placental viviparity,Heberer et al 2010
Alopias vulpinus,Alopiidae,Sharks,pole and line,pelagic,post-release mortality,0.78,10,satellite tag,ram,573.3,325,oophagy,Sepulveda et al 2015
Alopias vulpinus,Alopiidae,Sharks,pole and line,pelagic,post-release mortality,0.06,7,satellite tag,ram,573.3,325,oophagy,Sepulveda et al 2015
Alopias vulpinus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.44,9,satellite tag,ram,573.3,325,oophagy,Abascal et al 2011
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.17,2,satellite tag,ram,445,375,oophagy,Musyl et al 2011
Isurus oxyrinchus,Lamnidae,Sharks,pole and line,pelagic,post-release survival,0.1,30,satellite tag,ram,445,375,oophagy,French et al 2015
Isurus oxyrinchus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.3,26,satellite tag,ram,445,375,oophagy,Campana et al 2016
Lamna nasus,Lamnidae,Sharks,longline,pelagic,post-release mortality,0.18,33,satellite tag,ram,365,904.5,oophagy,Campana et al 2016
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.04,13,satellite tag,ram,350,541,placental viviparity,Musyl et al 2011
Carcharhinus longimanus,Carcharhinidae,Sharks,longline,pelagic,post-release mortality,0.5,2,satellite tag,ram,350,541,placental viviparity,Hutchinson 2016
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.12,3,satellite tag,ram,484,361.5,oophagy,Musyl et al 2011
Alopias superciliosus,Alopiidae,Sharks,longline,pelagic,post-release mortality,0.25,12,satellite tag,ram,484,361.5,oophagy,Hutchinson 2016
Sphyrna lewini,Sphyrnidae,Sharks,purse seine,pelagic,post-release mortality,1,3,satellite tag,ram,430,521.5,placental viviparity,Eddy et al 2016
Carcharhinus limbatus,Carcharhinidae,Sharks,gillnet,reef-associated,post-release mortality,0.31,2898,prm model,ram,286,70,placental viviparity,Hueter et al 2006
Sphyrna tiburo,Sphyrnidae,Sharks,gillnet,reef-associated,post-release mortality,0.4,4352,prm model,ram,150,45,placental viviparity,Hueter et al 2006
Carcharhinus leucas,Carcharhinidae,Sharks,handline,reef-associated,post-release survival,0.74,27,satellite tag,ram,366,82.5,placental viviparity,Gallagher et al 2014
