family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,habitat_associated,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,superorder,order,parity_mode,trophic_mode,vertebrate_reproductive_category,reference
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,2358,0.24681933842239187,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,430,0.5604651162790698,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,31,0.7419354838709677,Carcharhinus falciformis,longline,reef-associated,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Sphyrnidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,25,0.84,Sphyrna zygaena,longline,pelagic-oceanic,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,19,0.6842105263157895,Alopias superciliosus,longline,pelagic-oceanic,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Dasyatidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Batoids,16,0,Pteroplatytrygon violacea,longline,pelagic-oceanic,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,,,,,,
Carcharhinidae,j,wire,Indian Ocean,Portugal,Gilman et al (2022),Sharks,28,0.4642857142857143,Carcharhinus longimanus,longline,pelagic-oceanic,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Carcharhinidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,508,0.0452755905511811,Prionace glauca,longline,pelagic-oceanic,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,Galeomorphs,Carcharhiniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Lamnidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,31,0.16129032258064516,Isurus oxyrinchus,longline,pelagic-oceanic,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
Alopiidae,j,other,Mediterranean,,Gilman et al (2022),Sharks,16,0.0625,Alopias vulpinus,longline,pelagic-oceanic,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,Galeomorphs,Lamniformes,Viviparity,Matrotrophic,Matrotrophic Viviparity,S4
