SciName,r_fin
Beryx splendens,0.2419321683
Thunnus alalunga,0.1393771315
Pleuronectes quadrituberculatus,0.120334472
Hippoglossoides platessoides,0.1450003553
Engraulis encrasicolus,0.5565145882
Lophius budegassa,0.4025943825
Theragra chalcogramma,0.268162474
Atheresthes stomias,0.1928365429
Engraulis anchoita,0.6393820325
Merluccius hubbsi,0.2270290358
Thunnus thynnus,0.08176428773
Hippoglossus hippoglossus,0.1185026103
Pleurogrammus monopterygius,0.07660103928
Micropogonias undulatus,0.8737827759
Dissostichus mawsoni,0.1043376877
Arripis trutta,0.2858312819
Callinectes sapidus,0.6
Pseudotolithus elongatus,0.2628005079
Macruronus novaezelandiae,0.09872888988
Sebastes melanostomus,0.05745714907
Brachydeuterus auritus,0.6741900721
Merluccius polli,0.2342693256
Thunnus obesus,0.2363462564
Epigonus telescopus,0.09728600393
Allocyttus niger,0.06471891327
Sebastes melanops,0.08504845244
Istiompax indica,0.361545431
Pomatomus saltatrix,0.5247091089
Sebastes mystinus,0.1037400389
Scomber australasicus,0.5714487306
Makaira nigricans,0.2678543083
Sebastes rufus,0.08590533208
Hyperoglyphe antarctica,0.1805003287
Sebastes paucispinis,0.1060734646
Ethmalosa fimbriata,0.6908303225
Centropristis striata,0.3905954849
Carcharhinus limbatus,0.09856930997
Peprilus triacanthus,0.7003364177
Micromesistius poutassou,0.2649568984
Scorpaenichthys marmoratus,0.3221760997
Mallotus villosus,0.138113299
Merluccius capensis,0.1379804558
Sebastes goodei,0.09305077313
Trachurus trecae,0.4787312324
Trachurus murphyi,0.2467725956
Scomber japonicus,0.3977304197
Gadus morhua,0.3688136823
Pagellus erythrinus,0.4673104191
Jasus lalandii,0.425
Sebastes pinniger,0.03890906396
Trachurus capensis,0.28187887
Brosme brosme,0.1052321725
Sebastes crameri,0.05294116963
Parapenaeus longirostris,1.03
Microstomus pacificus,0.08952898292
Sebastes variabilis,0.08341472937
Parophrys vetulus,0.313793044
Hippoglossoides elassodon,0.1797748109
Lepidorhombus boscii,0.5125713724
Caranx rhonchus,0.6431203813
Mycteroperca microlepis,0.1768040606
Rexea solandri,0.2349130506
Phycis blennoides,0.3973796927
Reinhardtius hippoglossoides,0.1715916363
Sebastes norvegicus,0.057488971
Sebastes carnatus,0.08590533208
Seriola dumerili,0.450960773
Sebastes elongatus,0.09209213147
Aristaeomorpha foliacea,0.47
Sebastes chlorostictus,0.08590533208
Kathetostoma giganteum,0.2862765481
Penaeus semisulcatus,1.18
Balistes capriscus,0.824568385
Melanogrammus aeglefinus,0.3016919655
Merluccius merluccius,0.3102695939
Clupea harengus,0.2164710045
Clupea pallasii,0.56
Trachurus trachurus,0.4124449926
Illex illecebrosus,0.76
Engraulis japonicus,0.7956075783
Trachurus japonicus,0.601339121
Hexagrammos decagrammus,0.3408523418
Genypterus capensis,0.1821406699
Scomberomorus cavalla,0.4229760766
Dentex macrophthalmus,0.4597065312
Ophiodon elongatus,0.1429173311
Raja rhina,0.06813302835
Homarus americanus,0.57
Sebastolobus altivelis,0.09454541081
Scomber scombrus,0.2710951535
Lepidorhombus whiffiagonis,0.4433009646
Brevoortia patronus,0.8431082064
Brevoortia tyrannus,0.7243068538
Trachurus mediterraneus,0.3929460374
Lophius americanus,0.3429180367
Nemadactylus macropterus,0.1073001562
Mugil cephalus,0.2772578985
Nephrops norvegicus,0.52
Trisopterus esmarkii,0.6157875279
Sebastes polyspinis,0.05019432781
Genypterus blacodes,0.1308780432
Octopus vulgaris,0.81
Paralichthys olivaceus,0.8737338834
Hoplostethus atlanticus,0.1611654923
Thunnus orientalis,0.1918063374
Engraulis ringens,0.6489026694
Pandalus borealis,0.58
Macruronus magellanicus,0.1020870292
Gadus macrocephalus,0.2548222923
Sebastes alutus,0.04827910026
Panopea generosa,0.37
Merluccius productus,0.1201033701
Pleuronectes platessa,0.2596898428
Pollachius virens,0.2927713479
Lamna nasus,0.04407999012
Trisopterus minutus,0.7092609947
Eopsetta jordani,0.11254773530000001
Dissostichus eleginoides,0.1073710892
Pagrus major,0.3888317409
Pagellus bogaraveo,0.3179967933
Chaceon quinquedens,0.42
Aristeus antennatus,0.48
Glyptocephalus zachirus,0.1865458848
Sebastes aleutianus,0.03830607602
Epinephelus morio,0.2149185715
Mullus barbatus,0.68
Cancer irroratus,0.46
Pagellus bellottii,0.6779671372
Jasus edwardsii,0.52
Sardinella aurita,0.6742925927
Lutjanus campechanus,0.3538694183
Lepidopsetta bilineata,0.1742897968
