scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Aetobatus narinari,Whitespotted eagle ray,Aetobatidae,Myliobatiformes,stationary,226,disk_width,30,yolk-sac viviparity,coastal,
Aetomylaeus bovinus,Bull ray,Myliobatidae,Myliobatiformes,stationary,220,disk_width,50,yolk-sac viviparity,coastal,
Aetomylaeus maculatus,Mottled eagle ray,Myliobatidae,Myliobatiformes,stationary,78,disk_width,30,yolk-sac viviparity,coastal,
Aetomylaeus nichofii,,Myliobatidae,Myliobatiformes,stationary,72,disk_width,57.5,yolk-sac viviparity,coastal,
Alopias,Thresher sharks,Alopiidae,Lamniformes,ram,,total_length,,oophagy,pelagic,
Alopias pelagicus,Pelagic thresher,Alopiidae,Lamniformes,ram,428,total_length,150,oophagy,pelagic,
Alopias superciliosus,Bigeye thresher,Alopiidae,Lamniformes,ram,484,total_length,361.5,oophagy,pelagic,
Alopias vulpinus,Thresher,Alopiidae,Lamniformes,ram,573.3,total_length,325,oophagy,pelagic,
Amblyraja georgiana,Antarctic starry skate,Rajidae,Rajiformes,stationary,115,total_length,632,oviparous,bathydemersal,
Amblyraja hyperborea,Arctic skate,Rajidae,Rajiformes,stationary,112,total_length,1667,oviparous,bathydemersal,
Amblyraja radiata,Thorny skate,Rajidae,Rajiformes,stationary,110,total_length,773,oviparous,bathydemersal,
Amblyraja taaf,Whiteleg skate,Rajidae,Rajiformes,stationary,90,total_length,375,oviparous,bathydemersal,
Apristurus brunneus,Brown catshark,Pentanchidae,Carcharhiniformes,stationary,69.3,total_length,682.5,oviparous,demersal,
Atlantoraja castelnaui,Spotback skate,Arhynchobatidae,Rajiformes,stationary,147,total_length,112.5,oviparous,bathydemersal,
Atlantoraja cyclophora,Eyespot skate,Arhynchobatidae,Rajiformes,stationary,73.9,total_length,165.5,oviparous,bathydemersal,
Bathyraja,,,Rajiformes,stationary,,,,,,
Bathyraja brachyurops,Broadnose skate,Arhynchobatidae,Rajiformes,stationary,125,total_length,316,oviparous,bathydemersal,
Bathyraja eatonii,Eaton's skate,Arhynchobatidae,Rajiformes,stationary,120,total_length,407.5,oviparous,bathydemersal,
