scientific_name,family,mean_r,weight_kg,weight_mt
Acroteriobatus annulatus,Rhinobatidae,0.4579898985,NA,NA
Aetobatus flagellum,Aetobatidae,0.225299829,NA,NA
Alopias pelagicus,Alopidae,0.08248141664808988,36,0.036
Alopias superciliosus,Alopidae,0.06059984720082039,36,0.036
Alopias vulpinus,Alopidae,0.11778303565638346,36,0.036
Amblyraja georgiana,Rajidae,0.175918412,NA,NA
Amblyraja radiata,Rajidae,0.308287539,NA,NA
Anoxypristis cuspidata,Pristidae,0.555295804,NA,NA
Aptychotrema rostrata,Trygonorrhinidae,0.18123601,NA,NA
Bathyraja aleutica,Arhynchobatidae,0.273341887,NA,NA
Bathyraja brachyurops,Arhynchobatidae,0.460763434,NA,NA
Bathyraja lindbergi,Arhynchobatidae,0.217313262,NA,NA
Bathyraja maculata,Arhynchobatidae,0.179479612,NA,NA
Bathyraja minispinosa,Arhynchobatidae,0.184627135,NA,NA
Bathyraja parmifera,NA,0.345675904,NA,NA
Bathyraja trachura,Arhynchobatidae,0.386204421,NA,NA
Beringraja binoculata,Rajidae,0.571268341,NA,NA
Callorhinchus capensis,NA,0.6044970765,NA,NA
Callorhinchus milii,NA,0.4917881125,NA,NA
Carcharhinus acronotus,Carcharhinidae,0.19932762354784428,NA,NA
Carcharhinus amblyrhynchos,Carcharhinidae,0.07466647720108084,2.3,0.0023
Carcharhinus brachyurus,Carcharhinidae,0.09639850500621178,46.2,0.0462
Carcharhinus brevipinna,Carcharhinidae,0.15886659931184755,2.3,0.0023
Carcharhinus cautus,Carcharhinidae,0.166782051,NA,NA
Carcharhinus falciformis,Carcharhinidae,0.10239578504263853,46.2,0.0462
Carcharhinus galapagensis,Carcharhinidae,0.15585450717058125,36,0.036
Carcharhinus isodon,Carcharhinidae,0.1714329905,NA,NA
Carcharhinus leucas,Carcharhinidae,0.13545351158233174,46.2,0.0462
Carcharhinus limbatus,Carcharhinidae,0.10858434413207961,46.2,0.0462
Carcharhinus longimanus,Carcharhinidae,0.17834739802902122,36,0.036
Carcharhinus obscurus,Carcharhinidae,0.07086216974718147,36,0.036
Carcharhinus plumbeus,Carcharhinidae,0.10570114759383757,46.2,0.0462
