spec_code,scientific_name,family,order,group,mean_lm,genus,species,lm_new_gen,source
69495,Akheilos suwartanai,Scyliorhinidae,Carcharhiniformes,Sharks,,Akheilos,suwartanai,,
644,Aculeola nigra,Etmopteridae,Squaliformes,Sharks,48.5,Aculeola,nigra,48.5,FishBase
5891,Alopias pelagicus,Alopiidae,Lamniformes,Sharks,279.25,Alopias,pelagicus,279.25,FishBase
2534,Alopias superciliosus,Alopiidae,Lamniformes,Sharks,234.75,Alopias,superciliosus,234.75,FishBase
2535,Alopias vulpinus,Alopiidae,Lamniformes,Sharks,321.2,Alopias,vulpinus,321.2,FishBase
58249,Apristurus albisoma,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,albisoma,55.79,
64118,Apristurus ampliceps,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,ampliceps,55.79,
54373,Apristurus aphyodes,Pentanchidae,Carcharhiniformes,Sharks,52.95000076293945,Apristurus,aphyodes,52.95,FishBase
64107,Apristurus australis,Pentanchidae,Carcharhiniformes,Sharks,48.75,Apristurus,australis,48.75,FishBase
67532,Apristurus breviventralis,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,breviventralis,55.79,
763,Apristurus brunneus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,brunneus,55.79,
64119,Apristurus bucephalus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,bucephalus,55.79,
764,Apristurus canutus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,canutus,55.79,
59467,Apristurus exsanguis,Pentanchidae,Carcharhiniformes,Sharks,67.5,Apristurus,exsanguis,67.5,FishBase
58230,Apristurus fedorovi,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,fedorovi,55.79,
66995,Apristurus garricki,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,garricki,55.79,
27225,Apristurus gibbosus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,gibbosus,55.79,
765,Apristurus herklotsi,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,herklotsi,55.79,
766,Apristurus indicus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,indicus,55.79,
58250,Apristurus internatus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,internatus,55.79,
767,Apristurus investigatoris,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,investigatoris,55.79,
768,Apristurus japonicus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,japonicus,55.79,
769,Apristurus kampae,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,kampae,55.79,
770,Apristurus laurussonii,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,laurussonii,55.79,
771,Apristurus longicephalus,Pentanchidae,Carcharhiniformes,Sharks,50,Apristurus,longicephalus,50,FishBase
772,Apristurus macrorhynchus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,macrorhynchus,55.79,
27226,Apristurus macrostomus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,macrostomus,55.79,
774,Apristurus manis,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,manis,55.79,
69580,Apristurus manocheriani,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,manocheriani,55.79,
62554,Apristurus melanoasper,Pentanchidae,Carcharhiniformes,Sharks,59.75,Apristurus,melanoasper,59.75,FishBase
775,Apristurus microps,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,microps,55.79,
27227,Apristurus micropterygeus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,micropterygeus,55.79,
66849,Apristurus nakayai,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,nakayai,55.79,
776,Apristurus nasutus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,nasutus,55.79,
777,Apristurus parvipinnis,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,parvipinnis,55.79,
58251,Apristurus pinguis,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,pinguis,55.79,
778,Apristurus platyrhynchus,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,platyrhynchus,55.79,
779,Apristurus profundorum,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,profundorum,55.79,
780,Apristurus riveri,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,riveri,55.79,
781,Apristurus saldanha,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,saldanha,55.79,
782,Apristurus sibogae,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,sibogae,55.79,
783,Apristurus sinensis,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,sinensis,55.79,
784,Apristurus spongiceps,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,spongiceps,55.79,
786,Apristurus stenseni,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,stenseni,55.79,
68363,Apristurus yangi,Pentanchidae,Carcharhiniformes,Sharks,,Apristurus,yangi,55.79,
788,Asymbolus analis,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,analis,,
57511,Asymbolus funebris,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,funebris,,
64155,Asymbolus galacticus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,galacticus,,
57514,Asymbolus occiduus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,occiduus,,
57515,Asymbolus pallidus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,pallidus,,
57513,Asymbolus parvus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,parvus,,
57547,Asymbolus rubiginosus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,rubiginosus,,
57512,Asymbolus submaculatus,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,submaculatus,,
789,Asymbolus vincenti,Pentanchidae,Carcharhiniformes,Sharks,,Asymbolus,vincenti,,
62191,Atelomycterus baliensis,Atelomycteridae,Carcharhiniformes,Sharks,,Atelomycterus,baliensis,34.5,
67647,Atelomycterus erdmanni,Atelomycteridae,Carcharhiniformes,Sharks,,Atelomycterus,erdmanni,34.5,
54004,Atelomycterus fasciatus,Atelomycteridae,Carcharhiniformes,Sharks,34.5,Atelomycterus,fasciatus,34.5,FishBase
791,Atelomycterus macleayi,Atelomycteridae,Carcharhiniformes,Sharks,,Atelomycterus,macleayi,34.5,
4305,Atelomycterus marmoratus,Atelomycteridae,Carcharhiniformes,Sharks,,Atelomycterus,marmoratus,34.5,
63793,Atelomycterus marnkalha,Atelomycteridae,Carcharhiniformes,Sharks,,Atelomycterus,marnkalha,34.5,
49095,Aulohalaelurus kanakorum,Atelomycteridae,Carcharhiniformes,Sharks,,Aulohalaelurus,kanakorum,,
795,Aulohalaelurus labiosus,Atelomycteridae,Carcharhiniformes,Sharks,,Aulohalaelurus,labiosus,,
5893,Brachaelurus colcloughi,Brachaeluridae,Orectolobiformes,Sharks,,Brachaelurus,colcloughi,,
5892,Brachaelurus waddi,Brachaeluridae,Orectolobiformes,Sharks,,Brachaelurus,waddi,,
814,Bythaelurus alcockii,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,alcockii,,
68150,Bythaelurus bachi,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,bachi,,
817,Bythaelurus canescens,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,canescens,,
54001,Bythaelurus clevai,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,clevai,,
818,Bythaelurus dawsoni,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,dawsoni,,
66473,Bythaelurus giddingsi,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,giddingsi,,
819,Bythaelurus hispidus,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,hispidus,,
820,Bythaelurus immaculatus,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,immaculatus,,
64121,Bythaelurus incanus,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,incanus,,
822,Bythaelurus lutarius,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,lutarius,,
68383,Bythaelurus naylori,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,naylori,,
69053,Bythaelurus stewarti,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,stewarti,,
67931,Bythaelurus tenuicephalus,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,tenuicephalus,,
68215,Bythaelurus vivaldii,Pentanchidae,Carcharhiniformes,Sharks,,Bythaelurus,vivaldii,,
857,Carcharhinus acronotus,Carcharhinidae,Carcharhiniformes,Sharks,104.53125,Carcharhinus,acronotus,104.5312,FishBase
858,Carcharhinus albimarginatus,Carcharhinidae,Carcharhiniformes,Sharks,183.42857142857142,Carcharhinus,albimarginatus,183.4286,FishBase
859,Carcharhinus altimus,Carcharhinidae,Carcharhiniformes,Sharks,226.9,Carcharhinus,altimus,226.9,FishBase
860,Carcharhinus amblyrhynchoides,Carcharhinidae,Carcharhiniformes,Sharks,112.33333333333333,Carcharhinus,amblyrhynchoides,112.3333,FishBase
861,Carcharhinus amblyrhynchos,Carcharhinidae,Carcharhiniformes,Sharks,125.65416653951009,Carcharhinus,amblyrhynchos,125.6542,FishBase
862,Carcharhinus amboinensis,Carcharhinidae,Carcharhiniformes,Sharks,210.0625,Carcharhinus,amboinensis,210.0625,FishBase
863,Carcharhinus borneensis,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,borneensis,151.6176,
864,Carcharhinus brachyurus,Carcharhinidae,Carcharhiniformes,Sharks,214.9,Carcharhinus,brachyurus,214.9,FishBase
865,Carcharhinus brevipinna,Carcharhinidae,Carcharhiniformes,Sharks,195.8,Carcharhinus,brevipinna,195.8,FishBase
866,Carcharhinus cautus,Carcharhinidae,Carcharhiniformes,Sharks,86.25,Carcharhinus,cautus,86.25,FishBase
66939,Carcharhinus cerdale,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,cerdale,151.6176,
67451,Carcharhinus coatesi,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,coatesi,151.6176,
867,Carcharhinus dussumieri,Carcharhinidae,Carcharhiniformes,Sharks,66.82499885559082,Carcharhinus,dussumieri,66.825,FishBase
868,Carcharhinus falciformis,Carcharhinidae,Carcharhiniformes,Sharks,214.4375,Carcharhinus,falciformis,214.4375,FishBase
869,Carcharhinus fitzroyensis,Carcharhinidae,Carcharhiniformes,Sharks,91.25,Carcharhinus,fitzroyensis,91.25,FishBase
870,Carcharhinus galapagensis,Carcharhinidae,Carcharhiniformes,Sharks,223,Carcharhinus,galapagensis,223,FishBase
871,Carcharhinus hemiodon,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,hemiodon,151.6176,
67430,Carcharhinus humani,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,humani,151.6176,
872,Carcharhinus isodon,Carcharhinidae,Carcharhiniformes,Sharks,124.83999938964844,Carcharhinus,isodon,124.84,FishBase
9378,Carcharhinus leiodon,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,leiodon,151.6176,
873,Carcharhinus leucas,Carcharhinidae,Carcharhiniformes,Sharks,201.57142857142858,Carcharhinus,leucas,201.5714,FishBase
874,Carcharhinus limbatus,Carcharhinidae,Carcharhiniformes,Sharks,159.61111111111111,Carcharhinus,limbatus,159.6111,FishBase
875,Carcharhinus longimanus,Carcharhinidae,Carcharhiniformes,Sharks,192.7749989827474,Carcharhinus,longimanus,192.775,FishBase
876,Carcharhinus macloti,Carcharhinidae,Carcharhiniformes,Sharks,72.375,Carcharhinus,macloti,72.375,FishBase
63792,Carcharhinus macrops,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,macrops,151.6176,
877,Carcharhinus melanopterus,Carcharhinidae,Carcharhiniformes,Sharks,101.58333333333333,Carcharhinus,melanopterus,101.5833,FishBase
878,Carcharhinus obscurus,Carcharhinidae,Carcharhiniformes,Sharks,251,Carcharhinus,obscurus,251,FishBase
69201,Carcharhinus obsoletus,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,obsoletus,151.6176,
879,Carcharhinus perezii,Carcharhinidae,Carcharhiniformes,Sharks,160,Carcharhinus,perezii,160,FishBase
880,Carcharhinus plumbeus,Carcharhinidae,Carcharhiniformes,Sharks,246.15625,Carcharhinus,plumbeus,246.1562,FishBase
881,Carcharhinus porosus,Carcharhinidae,Carcharhiniformes,Sharks,72.5,Carcharhinus,porosus,72.5,FishBase
882,Carcharhinus sealei,Carcharhinidae,Carcharhiniformes,Sharks,72.66666666666667,Carcharhinus,sealei,72.6667,FishBase
883,Carcharhinus signatus,Carcharhinidae,Carcharhiniformes,Sharks,195,Carcharhinus,signatus,195,FishBase
884,Carcharhinus sorrah,Carcharhinidae,Carcharhiniformes,Sharks,111.375,Carcharhinus,sorrah,111.375,FishBase
15721,Carcharhinus tilstoni,Carcharhinidae,Carcharhiniformes,Sharks,,Carcharhinus,tilstoni,151.6176,
67456,Carcharhinus tjutjot,Carcharhinidae,Carcharhiniformes,Sharks,76.85000228881836,Carcharhinus,tjutjot,76.85,FishBase
747,Carcharias taurus,Carchariidae,Lamniformes,Sharks,208.75,Carcharias,taurus,208.75,FishBase
748,Carcharias tricuspidatus,Carchariidae,Lamniformes,Sharks,,Carcharias,tricuspidatus,208.75,
751,Carcharodon carcharias,Lamnidae,Lamniformes,Sharks,417.3333333333333,Carcharodon,carcharias,417.3333,FishBase
90,Cetorhinus maximus,Cetorhinidae,Lamniformes,Sharks,688.5714285714286,Cetorhinus,maximus,688.5714,FishBase
53922,Centrophorus atromarginatus,Centrophoridae,Squaliformes,Sharks,,Centrophorus,atromarginatus,93.9693,
648,Centrophorus granulosus,Centrophoridae,Squaliformes,Sharks,111.5,Centrophorus,granulosus,111.5,FishBase
649,Centrophorus harrissoni,Centrophoridae,Squaliformes,Sharks,91.5,Centrophorus,harrissoni,91.5,FishBase
54130,Centrophorus isodon,Centrophoridae,Squaliformes,Sharks,90.75,Centrophorus,isodon,90.75,FishBase
68495,Centrophorus lesliei,Centrophoridae,Squaliformes,Sharks,,Centrophorus,lesliei,93.9693,
68496,Centrophorus longipinnis,Centrophoridae,Squaliformes,Sharks,,Centrophorus,longipinnis,93.9693,
650,Centrophorus lusitanicus,Centrophoridae,Squaliformes,Sharks,94.16666666666667,Centrophorus,lusitanicus,94.1667,FishBase
69596,Centrophorus machiquensis,Centrophoridae,Squaliformes,Sharks,,Centrophorus,machiquensis,93.9693,
651,Centrophorus moluccensis,Centrophoridae,Squaliformes,Sharks,71,Centrophorus,moluccensis,71,FishBase
63812,Centrophorus seychellorum,Centrophoridae,Squaliformes,Sharks,,Centrophorus,seychellorum,93.9693,
653,Centrophorus squamosus,Centrophoridae,Squaliformes,Sharks,114.11818209561434,Centrophorus,squamosus,114.1182,FishBase
654,Centrophorus tessellatus,Centrophoridae,Squaliformes,Sharks,,Centrophorus,tessellatus,93.9693,
655,Centrophorus uyato,Centrophoridae,Squaliformes,Sharks,84.75,Centrophorus,uyato,84.75,FishBase
64110,Centrophorus westraliensis,Centrophoridae,Squaliformes,Sharks,,Centrophorus,westraliensis,93.9693,
64111,Centrophorus zeehaani,Centrophoridae,Squaliformes,Sharks,,Centrophorus,zeehaani,93.9693,
53965,Centroscyllium excelsum,Etmopteridae,Squaliformes,Sharks,,Centroscyllium,excelsum,49.8333,
656,Centroscyllium fabricii,Etmopteridae,Squaliformes,Sharks,64,Centroscyllium,fabricii,64,FishBase
657,Centroscyllium granulatum,Etmopteridae,Squaliformes,Sharks,,Centroscyllium,granulatum,49.8333,
658,Centroscyllium kamoharai,Etmopteridae,Squaliformes,Sharks,43,Centroscyllium,kamoharai,43,FishBase
660,Centroscyllium nigrum,Etmopteridae,Squaliformes,Sharks,,Centroscyllium,nigrum,49.8333,
659,Centroscyllium ornatum,Etmopteridae,Squaliformes,Sharks,,Centroscyllium,ornatum,49.8333,
661,Centroscyllium ritteri,Etmopteridae,Squaliformes,Sharks,42.5,Centroscyllium,ritteri,42.5,FishBase
662,Centroscymnus coelolepis,Somniosidae,Squaliformes,Sharks,95.32499885559082,Centroscymnus,coelolepis,95.325,FishBase
666,Centroscymnus owstonii,Somniosidae,Squaliformes,Sharks,78,Centroscymnus,owstonii,78,FishBase
663,Centroselachus crepidater,Somniosidae,Squaliformes,Sharks,66.20000076293945,Centroselachus,crepidater,66.2,FishBase
64128,Cephaloscyllium albipinnum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,albipinnum,59.9667,
64122,Cephaloscyllium cooki,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,cooki,59.9667,
796,Cephaloscyllium fasciatum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,fasciatum,59.9667,
69721,Cephaloscyllium formosanum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,formosanum,59.9667,
64131,Cephaloscyllium hiscosellum,Scyliorhinidae,Carcharhiniformes,Sharks,46.04999923706055,Cephaloscyllium,hiscosellum,46.05,FishBase
797,Cephaloscyllium isabella,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,isabella,59.9667,
798,Cephaloscyllium laticeps,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,laticeps,59.9667,
64123,Cephaloscyllium pictum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,pictum,59.9667,
63780,Cephaloscyllium sarawakense,Scyliorhinidae,Carcharhiniformes,Sharks,37.5,Cephaloscyllium,sarawakense,37.5,FishBase
64125,Cephaloscyllium signourum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,signourum,59.9667,
800,Cephaloscyllium silasi,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,silasi,59.9667,
64127,Cephaloscyllium speccum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,speccum,59.9667,
65889,Cephaloscyllium stevensi,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,stevensi,59.9667,
801,Cephaloscyllium sufflans,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,sufflans,59.9667,
49109,Cephaloscyllium umbratile,Scyliorhinidae,Carcharhiniformes,Sharks,96.3499984741211,Cephaloscyllium,umbratile,96.35,FishBase
64129,Cephaloscyllium variegatum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,variegatum,59.9667,
802,Cephaloscyllium ventriosum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,ventriosum,59.9667,
64130,Cephaloscyllium zebrum,Scyliorhinidae,Carcharhiniformes,Sharks,,Cephaloscyllium,zebrum,59.9667,
803,Cephalurus cephalus,Pentanchidae,Carcharhiniformes,Sharks,,Cephalurus,cephalus,,
5896,Chaenogaleus macrostoma,Hemigaleidae,Carcharhiniformes,Sharks,82.5,Chaenogaleus,macrostoma,82.5,FishBase
5901,Chiloscyllium arabicum,Hemiscylliidae,Orectolobiformes,Sharks,49.5,Chiloscyllium,arabicum,49.5,FishBase
50207,Chiloscyllium burmense,Hemiscylliidae,Orectolobiformes,Sharks,,Chiloscyllium,burmense,48.8333,
