scientific_name,f,f_mort,percent_diff,abs_diff,f_max,f_fmsy,family,threat,sp_count_threat,total_sp_count,sp_threat_pct,mean_mort_reduction,sd_mort_reduction,se_mort_reduction,mean_abs_mort_reduction,sd_abs_mort_reduction,se_abs_mort_reduction,mean_f_fmsy,sd_f_fmsy,se_f_fmsy,sp_threat
Alopias pelagicus,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,0.13369433623431878,2.16120335298182,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75
Alopias superciliosus,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,0.10503322351366257,2.1612033529818215,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75
Alopias vulpinus,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,0.14240998390231743,2.300362578960466,Alopiidae,threatened,3,3,1,54.66251828051619,1.616067328449572,0.9330369071089197,0.03144845061278795,0.004704157230352968,0.002715946443254611,2.207589761641369,0.08034361657899075,0.04638640865954839,>0.75
Apristurus fedorovi,0.01224239730944418,0.0025833237741140634,78.89854651162806,0.009659073535330118,0.05801684379794222,4.73901004284399,Pentanchidae,threatened,7,22,0.3181818181818182,67.5792833774162,11.944179159281262,1.8885405462221934,0.04664339782485291,0.02071120362753407,0.0032747288273274645,3.5276652782041453,1.2643216573059775,0.1999068066082877,<0.50
Apristurus longicephalus,0.05447083000691234,0.01149413685863891,78.89854651162777,0.042976693148273425,0.25813781044480194,4.739010042843928,Pentanchidae,threatened,7,22,0.3181818181818182,67.5792833774162,11.944179159281262,1.8885405462221934,0.04664339782485291,0.02071120362753407,0.0032747288273274645,3.5276652782041453,1.2643216573059775,0.1999068066082877,<0.50
Apristurus macrostomus,0.05447083000691234,0.010618271247397502,80.50649999999992,0.04385255875951483,0.279430733356822,5.129915099905074,Pentanchidae,threatened,7,22,0.3181818181818182,67.5792833774162,11.944179159281262,1.8885405462221934,0.04664339782485291,0.02071120362753407,0.0032747288273274645,3.5276652782041453,1.2643216573059775,0.1999068066082877,<0.50
Apristurus melanoasper,0.04076096491588672,0.008601156053137516,78.89854651162787,0.032159808862749203,0.19316662209239696,4.7390100428439474,Pentanchidae,threatened,7,22,0.3181818181818182,67.5792833774162,11.944179159281262,1.8885405462221934,0.04664339782485291,0.02071120362753407,0.0032747288273274645,3.5276652782041453,1.2643216573059775,0.1999068066082877,<0.50
Apristurus micropterygeus,0.0697385377560006,0.014715845108053287,78.8985465116279,0.05502269264794731,0.3304916307989392,4.739010042843955,Pentanchidae,threatened,7,22,0.3181818181818182,67.5792833774162,11.944179159281262,1.8885405462221934,0.04664339782485291,0.02071120362753407,0.0032747288273274645,3.5276652782041453,1.2643216573059775,0.1999068066082877,<0.50
Atelomycterus baliensis,0.10017915859559236,0.013297844123953127,86.72593749999993,0.08688131447163923,0.7546985604112668,7.533488711537968,Scyliorhinidae,threatened,3,18,0.16666666666666666,66.38058730343248,11.025110691635168,2.1622020983141605,0.05726314152701535,0.03411048775075919,0.0066896170253572616,3.3984709988786785,1.4901955475885564,0.2922513913931975,<0.25
Carcharhinus acronotus,0.1494957176608832,0.09285461834067092,37.8881082391251,0.05664109932021229,0.240687754667702,1.609997653669781,Carcharhinidae,threatened,35,52,0.6730769230769231,50.28540740384367,9.030627512776958,0.9216845609767802,0.04905486250062575,0.03512308490387169,0.0035847348419556836,2.0936687831768683,0.486680994542112,0.04967167100576747,<0.75
