scientific_name,f,f_mort,percent_diff,abs_diff,f_max,f_fmsy,family,threat,sp_count_threat,total_sp_count,sp_threat_pct,mean_mort_reduction,sd_mort_reduction,se_mort_reduction,mean_abs_mort_reduction,sd_abs_mort_reduction,se_abs_mort_reduction,mean_f_fmsy,sd_f_fmsy,se_f_fmsy,sp_threat,status,sp_count
Alopias pelagicus,0.06186106275,0.031134009372386088,49.6710725804883,0.030727053377613913,0.12291353287615958,1.9869288921351351,Alopiidae,threatened,3,3,1,52.14351979999205,2.7212779973411076,1.5711305843046943,0.029979645287443086,0.004526426743707265,0.0026133336989465107,2.094161385674041,0.12087428057236993,0.06978679842656013,>0.75,Corrected,NA
Alopias superciliosus,0.04859941725,0.02347338392256745,51.7002769769478,0.02512603332743255,0.1006204885001199,2.0704052475057177,Alopiidae,threatened,3,3,1,52.14351979999205,2.7212779973411076,1.5711305843046943,0.029979645287443086,0.004526426743707265,0.0026133336989465107,2.094161385674041,0.12087428057236993,0.06978679842656013,>0.75,Corrected,NA
Alopias vulpinus,0.06190762500000001,0.027821775842717215,55.05920984254006,0.03408584915728279,0.13775375284478317,2.22515001738127,Alopiidae,threatened,3,3,1,52.14351979999205,2.7212779973411076,1.5711305843046943,0.029979645287443086,0.004526426743707265,0.0026133336989465107,2.094161385674041,0.12087428057236993,0.06978679842656013,>0.75,Corrected,NA
Carcharhinus acronotus,0.1494957176608832,0.10139785374837772,32.173405810600485,0.04809786391250549,0.2204087046497281,1.4743479485459525,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus albimarginatus,0.06151584463607947,0.022721479704756575,63.064020596361495,0.03879436493132289,0.16654721393422597,2.707387258022706,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus altimus,0.0504803371039731,0.023325218362636378,53.793457609853114,0.027155118741336724,0.1092493281097301,2.164195692368535,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus amblyrhynchos,0.05599985774999999,0.02969133494928968,46.97962433790346,0.02630852280071031,0.10561950391844062,1.8860673609200487,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus amboinensis,0.0811285324105828,0.04716129199328435,41.868427060154225,0.03396724041729844,0.1395601878767914,1.72023557840899,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus brachyurus,0.06715183425,0.0411103816318392,38.77995725509285,0.0260414526181608,0.10968929657532182,1.633451979389853,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus brevipinna,0.11914994948388569,0.09020202394861641,24.295373737598023,0.028947925535269273,0.15738793699462517,1.3209232372852238,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus cautus,0.062543269125,0.03635738611036345,41.86842706015416,0.026185883014636542,0.1075891567388334,1.7202355784089887,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus falciformis,0.07234761975,0.03357665506025597,53.589827590345884,0.038770964689744024,0.15588741862753874,2.154700032512663,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus galapagensis,0.11689088037793594,0.06499274539900625,44.39878869175312,0.051898134978929686,0.21023081624949858,1.7985219682645257,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
Carcharhinus isodon,0.064287371625,0.021162082075811953,67.08205431191953,0.04312528954918805,0.19529581898629345,3.0378566435331913,Carcharhinidae,threatened,35,52,0.6730769230769231,48.63682081989183,12.499064633591262,1.6702577683586313,0.05080474368218335,0.03951421317719093,0.005280308843464166,2.0819633617656144,0.6165474639089676,0.08238962045113317,<0.75,Corrected,NA
