scientific_name,f,f_mort,mid_avm,mid_prm,redlist_category,family,common_name,percent_diff,abs_diff,avm_prm,p_max,f_fmsy,mean_f_fmsy
Alopias pelagicus,0.06186106275,0.02862343456234697,0.15884057971014495,0.361244966442953,EN,Alopiidae,Pelagic thresher,53.7295,0.03323762818765303,0.520085546153098,0.13369439005413816,2.1612042229930517,2.9695078567749085
Alopias superciliosus,0.04859941725,0.022487202411076764,0.15884057971014495,0.361244966442953,VU,Alopiidae,Bigeye thresher,53.7295,0.026112214838923235,0.520085546153098,0.10503326579570135,2.1612042229930517,2.9695078567749085
Alopias vulpinus,0.06190762500000001,0.02691211618821242,0.11501923076923076,0.361244966442953,VU,Alopiidae,Thresher,56.5286,0.03499550881178759,0.47626419721218377,0.14241000979954638,2.300362997280971,2.9695078567749085
Apristurus fedorovi,0.01224239730944418,0.0025833237741140634,0.17383720930232557,0.045,LC,Pentanchidae,Fedorov's catshark,78.8985,0.009659073535330118,0.21883720930232559,0.0580167159180351,4.738999597185033,2.9695078567749085
Apristurus longicephalus,0.05447083000691234,0.01149413685863891,0.17383720930232557,0.045,LC,Pentanchidae,Longhead catshark,78.8985,0.042976693148273425,0.21883720930232559,0.25813724146109196,4.738999597185033,2.9695078567749085
Apristurus macrostomus,0.05447083000691234,0.010618271247397502,0.157,0.045,LC,Pentanchidae,Broadmouth catshark,80.5065,0.04385255875951483,0.202,0.2794307333568233,5.129915099905097,2.9695078567749085
Apristurus melanoasper,0.04076096491588672,0.008601156053137516,0.17383720930232557,0.045,LC,Pentanchidae,Black roughscale catshark,78.8985,0.032159808862749203,0.21883720930232559,0.1931661963172604,4.738999597185033,2.9695078567749085
Apristurus micropterygeus,0.0697385377560006,0.014715845108053287,0.17383720930232557,0.045,LC,Pentanchidae,Smalldorsal cat shark,78.8985,0.05502269264794731,0.21883720930232559,0.33049090233396006,4.738999597185033,2.9695078567749085
Atelomycterus baliensis,0.10017915859559236,0.013297844123953127,0.091875,0.045,LC,Scyliorhinidae,Bali catshark,86.7259,0.08688131447163923,0.136875,0.754696428349887,7.53346742905357,2.9695078567749085
Carcharhinus acronotus,0.1494957176608832,0.09285461834067092,0.429925,0.33538379618251823,EN,Carcharhinidae,Blacknose shark,37.8881,0.05664109932021229,0.7653087961825182,0.24068772274054281,1.6099974401040702,2.9695078567749085
Carcharhinus albimarginatus,0.06151584463607947,0.022721479704756575,0.17903225806451611,0.23183314794215792,VU,Carcharhinidae,Silvertip shark,63.064,0.03879436493132289,0.41086540600667404,0.16654712106367625,2.7073857483214203,2.9695078567749085
Carcharhinus altimus,0.0504803371039731,0.022259396483947713,0.15884057971014495,0.33538379618251823,NT,Carcharhinidae,Bignose shark,55.9048,0.02822094062002539,0.4942243758926632,0.11448034503522628,2.2678205337542408,2.9695078567749085
Carcharhinus amblyrhynchoides,0.0811285324105828,0.030899380681805866,0.157,0.2655628283970689,VU,Carcharhinidae,Graceful shark,61.9131,0.05022915172877693,0.42256282839706893,0.21300901992701635,2.6255746726564775,2.9695078567749085
Carcharhinus amblyrhynchos,0.05599985774999999,0.02717713259812399,0.17903225806451611,0.3730657105144148,EN,Carcharhinidae,Blacktail reef shark,51.4693,0.028822725151876002,0.5520979685789309,0.11539058317724654,2.060551362333533,2.9695078567749085
Carcharhinus amboinensis,0.0811285324105828,0.04716129199328435,0.429925,0.2655628283970689,VU,Carcharhinidae,Pigeye shark,41.8684,0.03396724041729844,0.6954878283970689,0.1395601229117774,1.7202347776424527,2.9695078567749085
Carcharhinus borneensis,0.0811285324105828,0.041207379791032964,0.33,0.2655628283970689,CR,Carcharhinidae,Borneo shark,49.2073,0.03992115261954983,0.5955628283970689,0.15972478803171083,1.9687868532289088,2.9695078567749085
Carcharhinus brachyurus,0.06715183425,0.03674908156657679,0.2639628482972136,0.38488645458587656,VU,Carcharhinidae,Copper shark,45.2746,0.030402752683423212,0.6488493028830902,0.12270688610773059,1.8273050539603182,2.9695078567749085
Carcharhinus brevipinna,0.11914994948388569,0.0776973461518034,0.429925,0.3897244762663623,VU,Carcharhinidae,Spinner shark,34.7903,0.04145260333208228,0.8196494762663623,0.18271813776767215,1.5335141857729757,2.9695078567749085
Carcharhinus cautus,0.062543269125,0.03635738611036345,0.429925,0.2655628283970689,LC,Carcharhinidae,Nervous shark,41.8684,0.026185883014636542,0.6954878283970689,0.10758910665627645,1.720234777642453,2.9695078567749085
Carcharhinus cerdale,0.0811285324105828,0.041207379791032964,0.33,0.2655628283970689,CR,Carcharhinidae,Pacific smalltail shark,49.2073,0.03992115261954983,0.5955628283970689,0.15972478803171083,1.9687868532289088,2.9695078567749085
Carcharhinus coatesi,0.0811285324105828,0.05039046623804751,0.429925,0.33538379618251823,LC,Carcharhinidae,Australian blackspot shark,37.8881,0.030738066172535286,0.7653087961825182,0.1306167295004384,1.6099974401040704,2.9695078567749085
Carcharhinus falciformis,0.07234761975,0.03145052889127314,0.11501923076923076,0.361244966442953,VU,Carcharhinidae,Silky shark,56.5286,0.04089709085872686,0.47626419721218377,0.16642578741425393,2.3003629972809705,2.9695078567749085
Carcharhinus fitzroyensis,0.06351057749528352,0.0322587431306053,0.33,0.2655628283970689,LC,Carcharhinidae,Creek whaler,49.2073,0.031251834364678224,0.5955628283970689,0.12503879001369,1.968786853228909,2.9695078567749085
Carcharhinus galapagensis,0.11689088037793594,0.058488030187751436,0.2177977207977208,0.361244966442953,LC,Carcharhinidae,Galapagos shark,49.9636,0.0584028501901845,0.5790426872406738,0.23361169144450025,1.9985450591969045,2.9695078567749085
Carcharhinus hemiodon,0.06351057749528352,0.02920965127467426,0.11501923076923076,0.3897244762663623,CR,Carcharhinidae,Pondicherry shark,54.0082,0.03430092622060926,0.5047437070355931,0.13809108905344764,2.1743006362003663,2.9695078567749085
Carcharhinus humani,0.06351057749528352,0.0322587431306053,0.33,0.2655628283970689,DD,Carcharhinidae,Human's whaler shark,49.2073,0.031251834364678224,0.5955628283970689,0.12503879001369,1.968786853228909,2.9695078567749085
