scientific_name,kmeans,status
Aculeola nigra,1,NT
Alopias pelagicus,1,EN
Alopias superciliosus,1,VU
Alopias vulpinus,1,VU
Apristurus albisoma,1,LC
Apristurus ampliceps,1,LC
Apristurus aphyodes,1,LC
Apristurus australis,1,LC
Apristurus brunneus,2,DD
Apristurus bucephalus,1,DD
Apristurus exsanguis,1,LC
Apristurus fedorovi,2,LC
Apristurus garricki,1,LC
Apristurus gibbosus,2,LC
Apristurus herklotsi,2,LC
Apristurus internatus,2,LC
Apristurus japonicus,1,LC
Apristurus laurussonii,1,LC
Apristurus longicephalus,2,LC
Apristurus macrorhynchus,2,LC
Apristurus macrostomus,2,LC
Apristurus manis,1,LC
Apristurus melanoasper,1,LC
Apristurus microps,1,LC
Apristurus micropterygeus,1,LC
Apristurus nasutus,2,LC
Apristurus pinguis,2,LC
Apristurus platyrhynchus,2,LC
Apristurus profundorum,1,LC
Apristurus saldanha,2,LC
Apristurus sinensis,2,DD
Asymbolus analis,2,LC
Asymbolus occiduus,2,LC
Asymbolus pallidus,2,LC
Asymbolus parvus,2,LC
Asymbolus rubiginosus,2,LC
Asymbolus vincenti,2,LC
Atelomycterus baliensis,2,LC
Atelomycterus erdmanni,2,LC
Atelomycterus fasciatus,2,LC
Atelomycterus macleayi,2,LC
Atelomycterus marmoratus,2,NT
Atelomycterus marnkalha,2,DD
Aulohalaelurus kanakorum,2,DD
Aulohalaelurus labiosus,2,LC
Brachaelurus colcloughi,1,VU
Brachaelurus waddi,1,LC
Bythaelurus canescens,1,VU
Bythaelurus clevai,2,DD
Bythaelurus dawsoni,2,LC
Bythaelurus hispidus,2,NT
Bythaelurus immaculatus,2,LC
Bythaelurus lutarius,2,DD
Carcharhinus acronotus,2,EN
Carcharhinus albimarginatus,1,VU
Carcharhinus altimus,1,NT
Carcharhinus amblyrhynchoides,2,VU
Carcharhinus amblyrhynchos,1,EN
Carcharhinus amboinensis,1,VU
Carcharhinus borneensis,1,CR
