scientific_name,habitat,weight_kg,weight_mt
Carcharhinidae,large coastal,46.2,0.046200000000000005
Mustelus mustelus,small coastal,2.3,0.0023
Carcharhinus,small coastal,2.3,0.0023
Prionace glauca,pelagic,36,0.036
Carcharhinus brachyurus,large coastal,46.2,0.046200000000000005
Carcharhinus plumbeus,large coastal,46.2,0.046200000000000005
Centrophorus granulosus,deep,5.6,0.0056
Dalatias licha,deep,5.6,0.0056
Echinorhinus brucus,deep,5.6,0.0056
Etmopterus spinax,deep,5.6,0.0056
Galeorhinus galeus,pelagic,36,0.036
Galeus melastomus,deep,5.6,0.0056
Heptranchias perlo,deep,5.6,0.0056
Hexanchus griseus,deep,5.6,0.0056
Oxynotus centrina,deep,5.6,0.0056
Scyliorhinus,deep,5.6,0.0056
Scyliorhinus canicula,small coastal,2.3,0.0023
Scyliorhinus stellaris,small coastal,2.3,0.0023
Squalidae,deep,5.6,0.0056
Squalus acanthias,deep,5.6,0.0056
Triakidae,small coastal,2.3,0.0023
Carcharhinus longimanus,pelagic,36,0.036
Carcharhinus falciformis,large coastal,46.2,0.046200000000000005
Sphyrna,large coastal,46.2,0.046200000000000005
Sphyrna lewini,large coastal,46.2,0.046200000000000005
Carcharhinus melanopterus,small coastal,2.3,0.0023
Squaliformes,deep,5.6,0.0056
Notorynchus cepedianus,large coastal,46.2,0.046200000000000005
Mustelus schmitti,small coastal,2.3,0.0023
Carcharhiniformes,small coastal,2.3,0.0023
Carcharhinus brevipinna,small coastal,2.3,0.0023
Carcharhinus obscurus,pelagic,36,0.036
Carcharhinus sorrah,small coastal,2.3,0.0023
Sphyrnidae,small coastal,2.3,0.0023
Squalus mitsukurii,deep,5.6,0.0056
Carcharhinus amblyrhynchos,small coastal,2.3,0.0023
Scyliorhinidae,small coastal,2.3,0.0023
Sphyrna mokarran,large coastal,46.2,0.046200000000000005
Carcharhinus albimarginatus,large coastal,46.2,0.046200000000000005
Sphyrna zygaena,large coastal,46.2,0.046200000000000005
Galeocerdo cuvier,large coastal,46.2,0.046200000000000005
Triaenodon obesus,small coastal,2.3,0.0023
Etmopterus,deep,5.6,0.0056
Carcharhinus leucas,large coastal,46.2,0.046200000000000005
Rhizoprionodon acutus,small coastal,2.3,0.0023
Carcharhinus macloti,small coastal,2.3,0.0023
Nebrius ferrugineus,large coastal,46.2,0.046200000000000005
Carcharhinus limbatus,large coastal,46.2,0.046200000000000005
Carcharhinus tilstoni,large coastal,46.2,0.046200000000000005
Deania calcea,deep,5.6,0.0056
Squalus,deep,5.6,0.0056
Centrophorus squamosus,deep,5.6,0.0056
Centroscymnus crepidater,deep,5.6,0.0056
Carcharhinus dussumieri,small coastal,2.3,0.0023
Chiloscyllium arabicum,small coastal,2.3,0.0023
Mustelus,small coastal,2.3,0.0023
Ginglymostoma cirratum,large coastal,46.2,0.046200000000000005
Negaprion brevirostris,large coastal,46.2,0.046200000000000005
Rhizoprionodon porosus,small coastal,2.3,0.0023
Sphyrna tiburo,small coastal,2.3,0.0023
Centroscyllium fabricii,deep,5.6,0.0056
Squalus suckleyi,deep,5.6,0.0056
Carcharhinus galapagensis,pelagic,36,0.036
Mustelus lenticulatus,small coastal,2.3,0.0023
Cephaloscyllium isabellum,deep,5.6,0.0056
Mustelus henlei,small coastal,2.3,0.0023
Centroscymnus coelolepis,deep,5.6,0.0056
Scymnodon ringens,deep,5.6,0.0056
Galeus,small coastal,2.3,0.0023
Mustelus asterias,small coastal,2.3,0.0023
Somniosus rostratus,deep,5.6,0.0056
Squalus blainville,deep,5.6,0.0056
Centrophorus lusitanicus,deep,5.6,0.0056
Somniosus microcephalus,deep,5.6,0.0056
Oxynotus paradoxus,deep,5.6,0.0056
Rhizoprionodon terranovae,small coastal,2.3,0.0023
Rhincodon typus,pelagic,36,0.036
Mustelus whitneyi,small coastal,2.3,0.0023
Triakis megalopterus,small coastal,2.3,0.0023
Centrophorus,deep,5.6,0.0056
Triakis semifasciata,small coastal,2.3,0.0023
Alopias vulpinus,pelagic,36,0.036
Isurus oxyrinchus,pelagic,36,0.036
Cetorhinus maximus,pelagic,36,0.036
Isurus,pelagic,36,0.036
Alopias,pelagic,36,0.036
Carcharias taurus,large coastal,46.2,0.046200000000000005
Lamna nasus,large coastal,46.2,0.046200000000000005
Squatina argentina,small coastal,2.3,0.0023
Lamniformes,pelagic,36,0.036
Isurus paucus,pelagic,36,0.036
Pristidae,large coastal,46.2,0.046200000000000005
Pristiophorus,small coastal,2.3,0.0023
Alopias pelagicus,pelagic,36,0.036
Odontaspis ferox,deep,5.6,0.0056
Alopias superciliosus,pelagic,36,0.036
Lamnidae,pelagic,36,0.036
Rhynchobatus djiddensis,large coastal,46.2,0.046200000000000005
Rhinobatos,small coastal,2.3,0.0023
Pseudobatos percellens,small coastal,2.3,0.0023
Squatinidae,small coastal,2.3,0.0023
Rhinobatidae,small coastal,2.3,0.0023
Carcharodon carcharias,pelagic,36,0.036
Squatina squatina,small coastal,2.3,0.0023
Glaucostegus granulatus,large coastal,46.2,0.046200000000000005
Pseudobatos planiceps,small coastal,2.3,0.0023
Rhinobatos percellens,small coastal,2.3,0.0023
