pop.array,t,scenario,avm,prm,scientific_name,quota,f,total_mort,stock,n_div_k
100,1,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,1
94.9519662896027,2,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.949519662896027
90.4813759808139,3,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.9048137598081389
86.49353367572355,4,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.8649353367572356
82.9136074766612,5,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.829136074766612
79.6816367947264,6,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.796816367947264
76.74898341287395,7,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.7674898341287395
74.07575888425359,8,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.7407575888425358
71.62892708225064,9,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.7162892708225064
69.3808828525969,10,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6938088285259689
67.30837234019226,11,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6730837234019227
65.39166242568093,12,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6539166242568093
63.61389440553567,13,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6361389440553566
61.96057573064017,14,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6196057573064018
60.41917643882135,15,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.6041917643882135
58.97880585593775,16,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5897880585593775
57.629951464404556,17,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5762995146440456
56.36426637267698,18,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5636426637267697
55.17439511112998,19,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5517439511112998
54.053829897089614,20,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5405382989708961
52.99679130586657,21,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5299679130586658
51.99812862947798,22,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5199812862947798
51.05323622221141,23,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5105323622221141
50.157982908690116,24,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.5015798290869011
49.30865212755638,25,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4930865212755638
48.5018909471224,26,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.485018909471224
47.73466645110341,27,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4773466645110341
47.00422827700325,28,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4700422827700325
46.30807631483581,29,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4630807631483581
45.64393275310654,30,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4564393275310654
45.009717802522786,31,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.45009717802522786
44.403528543492214,32,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.44403528543492216
43.82362043703708,33,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4382362043703708
43.26839111487157,34,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4326839111487157
42.73636612660857,35,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4273636612660857
42.226186373150334,36,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.4222618637315033
41.736596997447435,37,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.41736596997447434
41.26643753869755,38,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.41266437538697553
40.81463318505936,39,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.40814633185059357
40.38018698416126,40,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.40380186984161265
39.96217289095794,41,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.39962172890957937
39.559729549527056,42,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.39559729549527056
39.17205471976899,43,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3917205471976899
38.798400272130166,44,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3879840027213017
38.438067683789576,45,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3843806768378958
38.09040397853131,46,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3809040397853131
37.75479806002507,47,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3775479806002507
37.4306773946557,48,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.37430677394655704
37.117505005553674,49,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.37117505005553675
36.814776744220396,50,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.36814776744220395
36.522018810234314,51,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.36522018810234314
36.23878549306218,52,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3623878549306218
35.96465711306785,53,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3596465711306785
35.6992381414763,54,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.356992381414763
35.442155481371735,55,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.35442155481371734
35.19305689383405,56,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.35193056893834046
34.95160955508905,57,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.34951609555089047
34.71749873209978,58,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3471749873209978
34.490426565388574,59,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.34490426565388577
34.2701109490779,60,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.34270110949077903
34.05628449919381,61,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.34056284499193806
33.84869360220794,62,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.33848693602207935
33.647097536618425,63,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.33647097536618426
33.45126766109974,64,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.33451267661099743
33.260986663399606,65,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.33260986663399605
33.07604786473637,66,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3307604786473637
32.89625457496272,67,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3289625457496272
32.721419494218075,68,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.32721419494218074
32.551364157199586,69,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.32551364157199586
32.38591841654615,70,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.32385918416546144
32.22491996215585,71,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3222491996215585
32.068213873549745,72,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.32068213873549745
31.915652202657267,73,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3191565220265727
31.76709358463448,74,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3176709358463448
31.622402874538594,75,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3162240287453859
31.481450807873443,76,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.31481450807873446
31.34411368319322,77,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3134411368319322
31.210273065107458,78,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3121027306510746
31.079815506171272,79,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3107981550617127
30.952632286272365,80,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30952632286272364
30.828619168241904,81,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30828619168241905
30.707676168521232,82,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3070767616852123
30.58970734181161,83,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3058970734181161
30.474620578720796,84,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30474620578720796
30.362327415499,85,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30362327415499
30.25274285502858,86,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.3025274285502858
30.145785198297236,87,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30145785198297237
30.041375885644214,88,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.30041375885644217
29.939439347123592,89,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2993943934712359
29.839902861378587,90,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.29839902861378587
29.7426964224665,91,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.297426964224665
29.64775261411571,92,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2964775261411571
29.55500649093448,93,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2955500649093448
29.464395466126522,94,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2946439546612652
29.37585920530054,95,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2937585920530054
29.289339525990673,96,FR,1,1,Carcharhinus altimus,0,0.0504803371039731,1,NA,0.2928933952599067
