scientific_name,msy_multiple_sim,fishing_mort_bau,fishing_mort_rb,percent_mort_diff,absolute_mort_diff,mort_scenario,simulation_avm,simulation_prm,n_div_k,pred_avm_25,pred_avm_mean,pred_avm_75,pred_prm_25,pred_prm_mean,pred_prm_75,p_fmsy
Alopias pelagicus,1.5,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,Full Retention,1,1,0.2529144935756599,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925,NA
Alopias pelagicus,1.5,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,Low Mortality,0.15884057971014495,0.091875,0.8229085449032852,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925,NA
Alopias pelagicus,1.5,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,Median Mortality,0.15884057971014495,0.361244966442953,0.6529747407186235,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925,NA
Alopias pelagicus,1.5,0.06186106275,0.02862343456234697,53.72948137340726,0.03323762818765303,High Mortality,0.6510726465364122,0.429925,0.3994832692056602,0.23183314794215792,0.15884057971014495,0.6510726465364122,0.091875,0.361244966442953,0.429925,NA
Alopias superciliosus,1.5,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,Full Retention,1,1,0.2573146278773081,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208,NA
Alopias superciliosus,1.5,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,Low Mortality,0.15884057971014495,0.11357333333333336,0.8092229827638693,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208,NA
Alopias superciliosus,1.5,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,Median Mortality,0.15884057971014495,0.361244966442953,0.6530119090062919,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208,NA
Alopias superciliosus,1.5,0.04859941725,0.022487202411076764,53.72948137340728,0.026112214838923235,High Mortality,0.5516212982351182,0.361244966442953,0.4653563124409937,0.242,0.15884057971014495,0.5516212982351182,0.11357333333333336,0.361244966442953,0.2177977207977208,NA
Alopias vulpinus,1.5,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,Full Retention,1,1,0.2529051405738153,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208,NA
Alopias vulpinus,1.5,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,Low Mortality,0.11501923076923076,0.11501923076923076,0.8373933081361054,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208,NA
Alopias vulpinus,1.5,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,Median Mortality,0.11501923076923076,0.361244966442953,0.6739668667931802,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208,NA
Alopias vulpinus,1.5,0.06190762500000001,0.02691211618821242,56.52859209473403,0.03499550881178759,High Mortality,0.6510726465364122,0.361244966442953,0.417380140920008,0.23183314794215792,0.11501923076923076,0.6510726465364122,0.11501923076923076,0.361244966442953,0.2177977207977208,NA
