ac,eo,species
18.038,0.64628,Aatolana schioedtei
4.9282,-0.1655,Abludomelita aculeata
5.1587,0.07168,Abludomelita gladiosa
6.1713,0.40612,Abludomelita obtusata
1.8531,0.60873,Abyssorchomene abyssorum
1.0082,0.95646,Abyssorchomene charcoti
1.71,0.42912,Abyssorchomene chevreuxi
6.9673,0.082654,Abyssorchomene distinctus
1,1.1223,Abyssorchomene nodimanus
NaN,NaN,Abyssorchomene scotianensis
9.0466,0.30782,Acanthacaris caeca
8.8427,0.76976,Acanthephyra acutifrons
2.0003,1.8889,Acanthephyra armata
8.1269,-0.09594,Acanthephyra brevirostris
1.7357,1.7273,Acanthephyra cucullata
12.577,1.1761,Acanthephyra curtirostris
7.8217,1.0205,Acanthephyra eximia
6.5462,0.063899,Acanthephyra indica
19.475,1.4144,Acanthephyra kingsleyi
9.8006,1.3904,Acanthephyra media
14.909,0.85828,Acanthephyra pelagica
17.173,0.72147,Acanthephyra purpurea
13.285,0.5125,Acanthephyra quadrispinosa
5.6524,1.9727,Acanthephyra sanguinea
8.01,0.033021,Acanthephyra sica
9.7162,-0.41445,Acanthephyra tenuipes
12.418,0.49946,Acanthilia intermedia
6.682,0.17076,Acanthohaustorius bousfieldi
5.6409,0.057327,Acanthohaustorius intermedius
5.1887,0.0085713,Acanthohaustorius millsi
2.0805,-1.5619,Acanthohaustorius pansus
5.2246,0.020352,Acanthohaustorius shoemakeri
5.2752,0.10269,Acanthohaustorius similis
5.8109,0.20459,Acanthohaustorius spinosus
5.8397,0.091956,Acanthohaustorius uncinus
4.2936,0.51808,Acantholithodes hispidus
5.262,-0.038299,Acantholobulus bermudensis
5.3631,0.044795,Acantholobulus schmitti
5.2679,0.034241,Acanthomysis longicornis
1.3646,1.9157,Acanthomysis stelleri
1.0652,1.8278,Acanthonotozoma cristatum
1,1.6565,Acanthonotozoma inflatum
1.323,1.6472,Acanthonotozoma rusanovae
4.1895,0.93774,Acanthonotozoma serratum
1.0005,1.3432,Acanthonotozomoides oatesi
5.5121,0.076465,Acanthonyx dentatus
1.1695,1.6594,Acanthoscina acanthodes
6.1535,0.10344,Acanthosquilla derijardi
8.027,0.23817,Acanthosquilla multifasciata
2.2779,0.62168,Acanthostepheia behringiensis
1.3067,1.3564,Acanthostepheia malmgreni
5.8173,-0.0034671,Acartia (Acanthacartia) bifilosa
11.48,0.39111,Acartia (Acanthacartia) fossae
7.3193,0.18085,Acartia (Acanthacartia) sinjiensis
3.7025,-0.807,Acartia (Acanthacartia) spinata
6.5102,0.090702,Acartia (Acanthacartia) tonsa
1.8338,1.8802,Acartia (Acanthacartia) tumida
14.463,0.45577,Acartia (Acartia) danae
17.358,0.56286,Acartia (Acartia) negligens
14.611,-0.003977,Acartia (Acartiura) clausi
4.992,-0.017888,Acartia (Acartiura) discaudata
6.1816,0.0043686,Acartia (Acartiura) ensifera
5.3551,0.080902,Acartia (Acartiura) hudsonica
6.6808,0.17422,Acartia (Acartiura) longiremis
5.9112,0.098268,Acartia (Acartiura) omorii
5.989,0.080414,Acartia (Acartiura) simplex
5.6837,0.043722,Acartia (Acartiura) tranteri
7.9434,0.23303,Acartia (Odontacartia) amboinensis
5.6799,0.03183,Acartia (Odontacartia) australis
11.807,0.27703,Acartia (Odontacartia) erythraea
5.3781,0.025608,Acartia (Odontacartia) lilljeborgii
4.6434,-0.028574,Acartia (Odontacartia) ohtsukai
37.388,0.93494,Acartia (Odontacartia) pacifica
10.967,0.38415,Acartia (Odontacartia) spinicauda
